target,ligand,vina_affinity,smiles,mmgbsa_dG,dG_sd,n_rep,e_complex,e_receptor,e_ligand,segundos,receptor_md5,plataforma,error
TDP43_v2,CHEMBL417799,-8.4,C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3,-14.59,0.79,3,-4237.05,-4226.17,3.71,2697.1,1a17b49efaf7677d2909f5b45d0b3b4f,CUDA,
TDP43_v2,CHEMBL362071,-8.2,c1c2c(cc3c1OCO3)-c1cc3ccc4c(c3c[n+]1CC2)OCO4,-12.65,0.15,3,-4245.74,-4216.18,-16.91,2762.8,1a17b49efaf7677d2909f5b45d0b3b4f,CUDA,
TDP43_v2,BERBERINE,-7.6,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,-14.24,0.05,3,-4247.05,-4222.05,-10.76,2826.2,1a17b49efaf7677d2909f5b45d0b3b4f,CUDA,
TDP43_v2,CHEMBL176008,-7.5,COc1cc2c[n+](C)c3c4cc5c(cc4ccc3c2cc1OC)OCO5,-17.19,0.11,3,-4236.31,-4224.2,5.07,2965.6,1a17b49efaf7677d2909f5b45d0b3b4f,CUDA,
TDP43_v2,CHEMBL12089,-7.6,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,-12.42,0.12,3,-4243.06,-4218.69,-11.96,2315.8,1a17b49efaf7677d2909f5b45d0b3b4f,CUDA,
TDP43_v2,CHEMBL8443,-7.9,COc1cc2c[n+](C)c3c4cc5c(cc4ccc3c2cc1OC)OCO5,-18.24,0.06,3,-4237.63,-4224.5,5.11,3046.7,1a17b49efaf7677d2909f5b45d0b3b4f,CUDA,
TDP43_v2,CHEMBL490129,-8.4,C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3,-13.49,0.12,3,-4235.3,-4225.46,3.65,2576.0,1a17b49efaf7677d2909f5b45d0b3b4f,CUDA,
TDP43_v2,CHEMBL492613,-7.5,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,-11.35,1.01,3,-4246.34,-4222.77,-12.22,3136.4,1a17b49efaf7677d2909f5b45d0b3b4f,CUDA,
TDP43_v2,CHEMBL274189,-6.4,COc1cc2c(cc1OC)-c1cc3ccc(OC)c(OC)c3c[n+]1CC2,-23.97,0.85,3,-4254.61,-4225.81,-4.83,3882.1,1a17b49efaf7677d2909f5b45d0b3b4f,CUDA,
TDP43_v2,CHEMBL13045,-7.8,COc1ccc2c(c[n+](C)c3c4cc5c(cc4ccc23)OCO5)c1OC,-10.55,0.02,3,-4228.87,-4227.82,9.5,2702.5,1a17b49efaf7677d2909f5b45d0b3b4f,CUDA,
TDP43_v2,CHEMBL305942,-7.8,COc1ccc2c(c[n+](C)c3c4cc5c(cc4ccc23)OCO5)c1O,-11.46,0.92,3,-4237.37,-4222.71,-3.19,2783.5,1a17b49efaf7677d2909f5b45d0b3b4f,CUDA,
TDP43_v2,CHEMBL1187398,-8.9,COc1ccc2cc3[n+](cc2c1OCCCCCC[n+]1ccccc1)CCc1cc2c(cc1-3)OCO2,-24.46,0.04,3,-4255.31,-4209.01,-21.84,2383.9,1a17b49efaf7677d2909f5b45d0b3b4f,CUDA,
TDP43_v2,CHEMBL121087,-7.7,COc1cc2c(ccc3c4cc(OC)c(OC)cc4c[n+](C)c23)cc1O,-22.5,0.35,3,-4249.01,-4223.51,-3.0,3265.2,1a17b49efaf7677d2909f5b45d0b3b4f,CUDA,
TDP43_v2,CHEMBL47043,-6.1,COc1cc2c(cc1OC)-c1cc3cc(OC)c(OC)cc3c[n+]1CC2,-19.61,0.56,3,-4257.46,-4226.79,-11.06,2994.9,1a17b49efaf7677d2909f5b45d0b3b4f,CUDA,
TDP43_v2,CHEMBL5314422,-8.8,C[C@H](CCC(=O)[O-])[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,-40.17,0.65,3,-4236.32,-4226.9,30.76,3480.8,1a17b49efaf7677d2909f5b45d0b3b4f,CUDA,
TDP43_v2,CHEMBL11531,-7.7,COc1ccc2cc3n(c(=O)c2c1OC)CCc1cc2c(cc1-3)OCO2,-26.04,0.05,3,-4252.28,-4220.62,-5.62,2807.7,1a17b49efaf7677d2909f5b45d0b3b4f,CUDA,
TDP43_v2,CHEMBL11848,-7.6,COc1ccc2c(c1OC)CN1CCc3cc4c(cc3C1=C2)OCO4,-30.41,5.98,3,-4248.87,-4215.24,-3.22,2637.2,1a17b49efaf7677d2909f5b45d0b3b4f,CUDA,
