target,ligand,vina_affinity,smiles,mmgbsa_dG,e_complex,e_receptor,e_ligand,error
SOD1,CHEMBL4584906,-7.7,N=C1N/C(=N/NC(=O)c2ccc(CN3C(=O)c4cccc5cccc3c45)cc2)c2ccccc21,-66.74,-457.98,-443.03,51.78,
SOD1,CHEMBL4637347,-7.6,O=C(c1ccccc1)N1CCN(C2CN(C(=O)c3ccc4c(cnn4-c4ccccc4)c3)C2)CC1,-70.48,-835.56,-984.07,218.99,
SOD1,CHEMBL27556,-7.4,O=C(NO)c1ccc(CNC(=O)c2ccc3ccccc3c2)cc1,-60.93,-624.65,-605.81,42.09,
SOD1,CHEMBL4530189,-7.3,O=S(=O)(NCCNCc1ccc2cc(-c3cccnc3)ccc2c1)c1cccc2cnccc12,-78.38,-777.29,-719.66,20.75,
SOD1,CHEMBL4534728,-7.3,CC(C)(Oc1ccc(-c2cnc(N)c(-c3ccc4c(c3)CCNC4=O)n2)cc1)C(N)=O,-50.33,-604.29,-638.34,84.38,
SOD1,CHEMBL523154,-7.3,C[C@@]1(CO)C[C@H](O)C[C@@]2(C)[C@H]1CC[C@H]1C[C@H]3[C@H](O)[C@]12CC[C@]3(C)O,-44.38,-1383.08,-1471.55,132.85,
SOD1,CHEMBL4531853,-7.2,O=C(NO)c1ccc(CNC(=O)c2cc(Cn3c4ccccc4c4ccccc43)on2)cc1,-80.1,-611.21,-598.29,67.18,
SOD1,CHEMBL4531945,-7.2,Cc1cc(O)c(=O)c(O)cc1C(=O)c1cccc(-c2cccc3ccccc23)c1,-52.29,-332.94,-427.59,146.94,
SOD1,CHEMBL4568323,-7.2,O=C(O)[C@H]1C2CCC(CC2)[C@@H]1Nc1nc(-c2c[nH]c3ncc(F)cc23)nc2sccc12,-56.31,-1474.0,-1405.25,-12.44,
SOD1,CHEMBL4636104,-7.2,Cc1ccc2nc(-c3cccc(C(=O)NCCc4ccccc4)c3)[nH]c2c1,-96.06,-735.22,-678.99,39.82,
SOD1,CHEMBL526671,-7.2,Cn1cc(-c2ccc3c(c2)CC/C3=N\O)c(-c2ccc3c(cnn3C)c2)n1,-61.7,-381.6,-434.82,114.92,
SOD1,CHEMBL26518,-7.1,O=C(NCC1CCC(C(=O)NO)CC1)c1ccc2ccccc2c1,-57.76,-605.09,-594.74,47.41,
SOD1,CHEMBL4436123,-7.1,Nc1ncnc2c3c(n(-c4ccc(NC(=O)Cc5cc(C(F)(F)F)ccc5F)cc4)c12)CCC3,-95.52,-1368.73,-1263.4,-9.81,
SOD1,CHEMBL4533386,-7.1,C=C1[C@@]2(C)CC3=C(C)[C@]4(C=CC(=O)OC4(C)C)CC[C@]3(C)[C@@]13C(=O)O[C@@H](C)[C@@]3(O)C2=O,-71.9,-1534.81,-1621.9,158.99,
SOD1,CHEMBL4568196,-7.1,N#CC1(c2ccc(-c3cnc(N)c(-c4ccc5c(c4)C4(CC4)NC5=O)n3)cc2)CCOCC1,-82.3,-623.87,-606.8,65.23,
SOD1,CHEMBL4571895,-7.1,O=C(COc1ccc(-c2nc3ccccc3c(=O)[nH]2)cc1)Nc1cccc2ccccc12,-89.36,-1353.74,-1271.76,7.39,
SOD1,CHEMBL4571979,-7.1,CC1CCc2cc(F)cc3c(O)c(C(=O)NCc4ccc5c(c4)OCCO5)c(=O)n1c23,-72.75,-542.86,-418.76,-51.35,
SOD1,CHEMBL4572132,-7.1,COc1ccc2[nH]cc(C3CCN(CCN4C(=O)CC(c5c[nH]c6ccc(F)cc56)C4=O)CC3)c2c1,-79.27,-540.41,-493.86,32.71,
SOD1,CHEMBL499624,-7.1,O=C(NC1Cc2ccccc2C1)c1cccc(Nc2ccnc(N3CCN(c4ccccc4)CC3)n2)c1,-80.82,-1189.36,-1075.64,-32.91,
SOD1,CHEMBL19433,-7.0,Cn1c(C(=O)N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc2cc(O)ccc21,-63.0,-583.16,-599.56,79.39,
SOD1,CHEMBL20420,-7.0,C/N=C(\N)c1ccc(NC(=O)c2cc(C)nn2-c2cc3ccccc3cc2F)c(F)c1,-60.28,-577.43,-486.56,-30.58,
SOD1,CHEMBL21140,-7.0,Cc1cc(C(=O)Nc2ccc(C(=N)N(C)C)cc2F)n(-c2cc3ccccc3cc2F)n1,-67.28,-564.78,-455.89,-41.6,
SOD1,CHEMBL4434725,-7.0,O=c1cc(Cn2cc(CSc3nc4ccccc4[nH]3)nn2)c2ccc3ccccc3c2o1,-94.43,-815.55,-772.34,51.23,
SOD1,CHEMBL4564908,-7.0,O=C(Cc1ccccc1)NC(C(=O)NO)c1ccc(-c2cc(F)c(F)c(F)c2)cc1,-108.41,-347.71,-353.48,114.18,
