target,ligand,vina_affinity,mmgbsa_dG,atomos_pesados,eficiencia_ligando,residual,puesto_dG_bruto,puesto_residual,puesto_eficiencia,sube_puestos
FUS,CHEMBL4582280,-8.1,-50.41,37,-1.3624,3.26,259,282,351,-23
FUS,CHEMBL4634995,-7.7,-42.03,32,-1.3134,9.94,376,380,377,-4
FUS,CHEMBL4636707,-7.6,-50.73,35,-1.4494,2.26,257,264,316,-7
FUS,CHEMBL4584906,-7.5,-47.69,37,-1.2889,5.98,300,321,387,-21
FUS,CHEMBL20834,-7.3,-71.09,28,-2.5389,-20.48,47,44,21,3
FUS,CHEMBL4581567,-7.3,-55.53,35,-1.5866,-2.54,183,194,239,-11
FUS,CHEMBL4530658,-7.2,-46.43,36,-1.2897,6.90,317,332,386,-15
FUS,CHEMBL4543357,-7.2,-61.58,36,-1.7106,-8.25,122,131,182,-9
FUS,CHEMBL4574605,-7.2,-47.60,35,-1.3600,5.39,303,314,353,-11
FUS,CHEMBL4581253,-7.2,-45.02,33,-1.3642,7.29,340,337,348,3
FUS,CHEMBL4581905,-7.2,-56.44,30,-1.8813,-5.15,174,161,130,13
FUS,CHEMBL4637973,-7.2,-84.82,37,-2.2924,-31.15,12,14,49,-2
FUS,CHEMBL498331,-7.2,-62.01,30,-2.0670,-10.72,116,107,83,9
FUS,CHEMBL27509,-7.1,-33.76,36,-0.9378,19.57,452,461,474,-9
FUS,CHEMBL3311108,-7.1,-80.49,39,-2.0638,-26.14,16,20,85,-4
FUS,CHEMBL3311110,-7.1,-40.42,39,-1.0364,13.93,400,423,461,-23
FUS,CHEMBL4435185,-7.1,-50.80,35,-1.4514,2.19,254,263,314,-9
FUS,CHEMBL4531795,-7.1,-49.69,34,-1.4615,2.96,268,273,307,-5
FUS,CHEMBL4564343,-7.1,-57.00,34,-1.6765,-4.35,166,174,199,-8
FUS,CHEMBL4575062,-7.1,-42.68,33,-1.2933,9.63,357,374,384,-17
FUS,CHEMBL4581829,-7.1,-67.86,33,-2.0564,-15.55,75,78,89,-3
FUS,CHEMBL4582406,-7.1,-49.14,33,-1.4891,3.17,276,277,286,-1
FUS,CHEMBL498013,-7.1,-39.50,33,-1.1970,12.81,407,410,422,-3
FUS,CHEMBL498166,-7.1,-49.28,29,-1.6993,1.67,274,255,187,19
FUS,CHEMBL16215,-7.0,-51.41,34,-1.5121,1.24,243,248,274,-5
FUS,CHEMBL26996,-7.0,-44.39,31,-1.4319,7.24,343,335,323,8
FUS,CHEMBL27348,-7.0,-53.01,30,-1.7670,-1.72,221,207,163,14
FUS,CHEMBL4531084,-7.0,-51.90,34,-1.5265,0.75,234,241,269,-7
FUS,CHEMBL4543556,-7.0,-54.73,35,-1.5637,-1.74,194,205,249,-11
FUS,CHEMBL4562749,-7.0,-55.36,35,-1.5817,-2.37,187,199,241,-12
FUS,CHEMBL4570741,-7.0,-43.29,35,-1.2369,9.70,353,376,405,-23
FUS,CHEMBL4574116,-7.0,-60.40,33,-1.8303,-8.09,133,133,143,0
FUS,CHEMBL4585282,-7.0,-55.53,33,-1.6827,-3.22,182,185,196,-3
FUS,CHEMBL27387,-6.9,-98.27,30,-3.2757,-46.98,3,2,3,1
FUS,CHEMBL28751,-6.9,-88.85,27,-3.2907,-38.58,6,5,2,1
FUS,CHEMBL4435086,-6.9,-63.34,37,-1.7119,-9.67,106,117,181,-11
FUS,CHEMBL4435183,-6.9,-49.80,34,-1.4647,2.85,265,270,303,-5
FUS,CHEMBL4435941,-6.9,-57.25,35,-1.6357,-4.26,161,176,219,-15
FUS,CHEMBL4530239,-6.9,-45.54,36,-1.2650,7.79,327,348,396,-21
FUS,CHEMBL4530474,-6.9,-31.38,33,-0.9509,20.93,471,474,473,-3
FUS,CHEMBL4531832,-6.9,-53.64,35,-1.5326,-0.65,209,223,265,-14
FUS,CHEMBL4531853,-6.9,-62.34,36,-1.7317,-9.01,112,125,169,-13
FUS,CHEMBL4531945,-6.9,-42.07,31,-1.3571,9.56,374,370,354,4
FUS,CHEMBL4532451,-6.9,-54.82,34,-1.6124,-2.17,193,200,229,-7
FUS,CHEMBL4533577,-6.9,-32.60,29,-1.1241,18.35,461,455,444,6
FUS,CHEMBL4553700,-6.9,-28.87,27,-1.0693,21.40,483,477,455,6
FUS,CHEMBL4562703,-6.9,-31.25,37,-0.8446,22.42,472,478,486,-6
FUS,CHEMBL4570803,-6.9,-51.09,35,-1.4597,1.90,249,260,308,-11
FUS,CHEMBL4571844,-6.9,-53.93,34,-1.5862,-1.28,204,215,240,-11
FUS,CHEMBL4574920,-6.9,-57.34,31,-1.8497,-5.71,160,155,138,5
FUS,CHEMBL4574953,-6.9,-44.01,34,-1.2944,8.64,349,356,383,-7
FUS,CHEMBL4575603,-6.9,-45.15,31,-1.4565,6.48,336,330,309,6
FUS,CHEMBL4634723,-6.9,-58.72,34,-1.7271,-6.07,147,152,171,-5
FUS,CHEMBL4635162,-6.9,-53.09,37,-1.4349,0.58,219,239,320,-20
FUS,CHEMBL4636792,-6.9,-68.93,31,-2.2235,-17.30,63,64,60,-1
FUS,CHEMBL495322,-6.9,-53.28,31,-1.7187,-1.65,217,209,178,8
FUS,CHEMBL495952,-6.9,-72.84,30,-2.4280,-21.55,39,36,33,3
FUS,CHEMBL498347,-6.9,-42.37,34,-1.2462,10.28,369,384,403,-15
FUS,CHEMBL498594,-6.9,-32.91,30,-1.0970,18.38,457,456,448,1
FUS,CHEMBL1796970,-6.8,-74.82,29,-2.5800,-23.87,30,25,17,5
FUS,CHEMBL1864755,-6.8,-44.96,34,-1.3224,7.69,342,346,374,-4
FUS,CHEMBL20196,-6.8,-91.37,35,-2.6106,-38.38,5,6,14,-1
FUS,CHEMBL21597,-6.8,-53.92,33,-1.6339,-1.61,205,211,220,-6
FUS,CHEMBL26936,-6.8,-40.59,30,-1.3530,10.70,399,388,355,11
FUS,CHEMBL28388,-6.8,-65.84,33,-1.9952,-13.53,85,86,101,-1
FUS,CHEMBL3311109,-6.8,-63.04,37,-1.7038,-9.37,110,121,186,-11
FUS,CHEMBL4434725,-6.8,-38.58,33,-1.1691,13.73,415,417,431,-2
FUS,CHEMBL4435739,-6.8,-41.26,35,-1.1789,11.73,390,402,429,-12
FUS,CHEMBL4532201,-6.8,-45.61,29,-1.5728,5.34,322,313,244,9
FUS,CHEMBL4532868,-6.8,-56.83,34,-1.6715,-4.18,167,177,205,-10
FUS,CHEMBL4533771,-6.8,-51.40,33,-1.5576,0.91,244,243,254,1
FUS,CHEMBL4534411,-6.8,-34.21,33,-1.0367,18.10,447,453,460,-6
FUS,CHEMBL4564327,-6.8,-62.20,34,-1.8294,-9.55,114,118,144,-4
FUS,CHEMBL4568125,-6.8,-38.36,34,-1.1282,14.29,420,430,443,-10
FUS,CHEMBL4568323,-6.8,-29.52,34,-0.8682,23.13,480,483,483,-3
FUS,CHEMBL4568499,-6.8,-104.79,29,-3.6134,-53.84,1,1,1,0
FUS,CHEMBL4569304,-6.8,-32.17,32,-1.0053,19.80,467,466,467,1
FUS,CHEMBL4570368,-6.8,-56.64,34,-1.6659,-3.99,169,180,208,-11
FUS,CHEMBL4571223,-6.8,-50.84,33,-1.5406,1.47,251,253,262,-2
FUS,CHEMBL4571316,-6.8,-23.73,33,-0.7191,28.58,491,492,491,-1
FUS,CHEMBL4572055,-6.8,-70.81,29,-2.4417,-19.86,51,46,30,5
FUS,CHEMBL4580639,-6.8,-32.48,31,-1.0477,19.15,465,460,457,5
FUS,CHEMBL4581153,-6.8,-75.57,34,-2.2226,-22.92,26,29,61,-3
FUS,CHEMBL4581184,-6.8,-26.78,31,-0.8639,24.85,486,486,485,0
FUS,CHEMBL4636263,-6.8,-53.25,34,-1.5662,-0.60,218,224,247,-6
FUS,CHEMBL4636405,-6.8,-72.11,30,-2.4037,-20.82,42,38,36,4
FUS,CHEMBL4638039,-6.8,-51.78,33,-1.5691,0.53,235,238,246,-3
FUS,CHEMBL4638803,-6.8,-42.40,31,-1.3677,9.23,367,363,345,4
FUS,CHEMBL4639751,-6.8,-72.35,32,-2.2609,-20.38,41,45,55,-4
FUS,CHEMBL498709,-6.8,-69.13,30,-2.3043,-17.84,62,60,47,2
FUS,CHEMBL498713,-6.8,-71.04,31,-2.2916,-19.41,49,49,50,0
FUS,CHEMBL498752,-6.8,-67.45,30,-2.2483,-16.16,78,70,56,8
FUS,CHEMBL500662,-6.8,-63.52,32,-1.9850,-11.55,104,101,103,3
FUS,CHEMBL501732,-6.8,-70.58,31,-2.2768,-18.95,53,52,52,1
FUS,CHEMBL503090,-6.8,-45.42,34,-1.3359,7.23,330,334,362,-4
FUS,CHEMBL1163540,-6.7,-69.35,26,-2.6673,-19.42,61,48,12,13
