target,ligand,vina_affinity,smiles,mmgbsa_dG,dG_sd,n_rep,e_complex,e_receptor,e_ligand,segundos,receptor_md5,plataforma,error
FUS,CHEMBL1163230,-6.6,Clc1ccc(/C=N/Nc2nc(Nc3cccc(Br)c3)nc(N3CCOCC3)n2)cc1,-43.72,1.49,3,-1698.52,-1454.92,-199.88,106.8,6c90f013f59aae2f5a0bf8706af198c8,CUDA,
FUS,CHEMBL1163540,-6.7,C[C@@]12CC[C@H](O)[C@@H]3COC(=C31)C(=O)c1cc3cccc(O)c3cc12,-18.06,0.11,3,-1405.93,-1453.2,65.33,78.6,6c90f013f59aae2f5a0bf8706af198c8,CUDA,
FUS,CHEMBL1204619,-6.5,O=C1N[C@H]2[C@@H]3OP(=O)(O)O[C@@H]3[C@@H](O)C[C@@H]2c2cc3c(cc21)OCO3,-15.96,0.01,3,-1591.23,-1453.75,-121.53,71.5,6c90f013f59aae2f5a0bf8706af198c8,CUDA,
FUS,CHEMBL1207157,-6.5,O=C(/C=C/c1c(C(=O)O)[nH]c2cc(Cl)cc(Cl)c12)Nc1cccc([N+](=O)[O-])c1F,-25.86,0.03,3,-1540.15,-1451.74,-62.56,54.6,6c90f013f59aae2f5a0bf8706af198c8,CUDA,
FUS,CHEMBL1207227,-6.6,O=C1C(c2c(O)[nH]c3ccc(S(=O)(=O)O)cc23)=Nc2ccccc21,-29.62,0.11,3,-1460.28,-1449.54,18.89,137.3,6c90f013f59aae2f5a0bf8706af198c8,CUDA,
FUS,CHEMBL1208600,-6.6,O=C1Nc2ccc(S(=O)(=O)O)cc2/C1=C1/Nc2ccccc2C1=O,-16.21,0.03,3,-1481.0,-1453.66,-11.12,76.0,6c90f013f59aae2f5a0bf8706af198c8,CUDA,
FUS,CHEMBL1210981,-6.5,O=C(CSc1nnc2c(n1)[nH]c1ccccc12)Nc1cccc([N+](=O)[O-])c1,-22.19,0.05,3,-1438.59,-1451.49,35.1,48.1,6c90f013f59aae2f5a0bf8706af198c8,CUDA,
FUS,CHEMBL1242896,-6.4,Cc1nn(-c2ccccc2)c(Cl)c1/C=N/NC(=O)Cc1ccc(Cl)cc1,-26.58,0.31,3,-1408.73,-1456.85,74.69,78.5,6c90f013f59aae2f5a0bf8706af198c8,CUDA,
FUS,CHEMBL13184,-6.4,CC(C)=CCc1c(O)n(Cc2ccccc2)c2nc3c(c(=O)n(C)c(=O)n3C)n2c1=O,-23.16,0.03,3,-1714.67,-1453.31,-238.2,73.3,6c90f013f59aae2f5a0bf8706af198c8,CUDA,
FUS,CHEMBL16243,-6.4,O=C(O)[C@@H]1C[C@H]2C[C@@H](c3ccc(Cc4nnn[nH]4)cc3)CC[C@H]2CN1,-36.46,0.02,3,-1442.14,-1446.15,40.46,76.7,6c90f013f59aae2f5a0bf8706af198c8,CUDA,
