target,ligand,vina_affinity,smiles,mmgbsa_dG,e_complex,e_receptor,e_ligand,segundos,receptor_md5,plataforma,error
TDP43_v2,BERBERINE,-5.700,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC,-8.25,-4219.29,-4200.41,-10.63,26.9,1a17b49efaf7677d2909f5b45d0b3b4f,CUDA,
TDP43_v2,KETOCONAZOLE,-6.300,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OCC3COC(O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl,-29.06,-4174.31,-4206.09,60.84,27.0,1a17b49efaf7677d2909f5b45d0b3b4f,CUDA,
SOD1,CHEMBL1939222,-4.700,O=c1cc(COc2cc(Cl)cc(Cl)c2)[nH][nH]1,-25.17,-3883.78,-3865.8,7.18,24.7,f4331421f45c096d929c979dd1a06f43,CUDA,
SOD1,CHEMBL1643557,-4.700,O=c1cc(CSc2cc(Cl)cc(Cl)c2)[nH][nH]1,-11.91,-3871.47,-3859.23,-0.33,24.4,f4331421f45c096d929c979dd1a06f43,CUDA,
SOD1,CHEMBL2165611,-5.000,O=c1cc(COc2cc(Br)cc(Br)c2)[nH][nH]1,-14.0,-3845.03,-3846.29,15.26,22.9,f4331421f45c096d929c979dd1a06f43,CUDA,
SOD1,CHEMBL2165609,-5.600,O=c1cc(COc2cc(C(F)(F)F)cc(C(F)(F)F)c2)[nH][nH]1,-11.75,-3795.25,-3859.39,75.89,25.0,f4331421f45c096d929c979dd1a06f43,CUDA,
SOD1,CHEMBL1643556,-5.200,O=c1cc(CSc2c(Cl)cccc2Cl)[nH][nH]1,-19.59,-3835.4,-3854.17,38.37,24.3,f4331421f45c096d929c979dd1a06f43,CUDA,
SOD1,CHEMBL2165607,-5.100,CCc1cccc(OCc2cc(=O)[nH][nH]2)c1,-15.54,-3846.14,-3861.6,30.99,24.2,f4331421f45c096d929c979dd1a06f43,CUDA,
SOD1,CHEMBL2165605,-5.300,O=c1cc(COc2ccc(Cl)cc2)[nH][nH]1,-17.64,-3839.97,-3850.68,28.35,19.5,f4331421f45c096d929c979dd1a06f43,CUDA,
SOD1,CHEMBL2165608,-5.400,CC(C)(C)c1cccc(OCc2cc(=O)[nH][nH]2)c1,-15.72,-3823.78,-3844.52,36.46,22.3,f4331421f45c096d929c979dd1a06f43,CUDA,
