target,ligand,vina_affinity,smiles,mmgbsa_dG,dG_sd,n_rep,e_complex,e_receptor,e_ligand,segundos,receptor_md5,plataforma,error
TDP43_v2,BERBERINE,-5.700,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC,-8.58,1.15,3,-4219.8,-4200.49,-10.72,72.1,1a17b49efaf7677d2909f5b45d0b3b4f,CUDA,
TDP43_v2,KETOCONAZOLE,-6.300,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OCC3COC(O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl,-28.9,0.07,3,-4172.23,-4204.18,60.85,71.2,1a17b49efaf7677d2909f5b45d0b3b4f,CUDA,
SOD1,CHEMBL1939222,-4.700,O=c1cc(COc2cc(Cl)cc(Cl)c2)[nH][nH]1,-13.54,0.05,3,-3861.8,-3856.19,7.92,68.6,f4331421f45c096d929c979dd1a06f43,CUDA,
SOD1,CHEMBL1643557,-4.700,O=c1cc(CSc2cc(Cl)cc(Cl)c2)[nH][nH]1,-11.8,0.06,3,-3866.62,-3854.53,-0.29,70.9,f4331421f45c096d929c979dd1a06f43,CUDA,
SOD1,CHEMBL2165611,-5.000,O=c1cc(COc2cc(Br)cc(Br)c2)[nH][nH]1,-15.21,0.71,3,-3854.72,-3854.74,15.22,45.3,f4331421f45c096d929c979dd1a06f43,CUDA,
SOD1,CHEMBL2165609,-5.600,O=c1cc(COc2cc(C(F)(F)F)cc(C(F)(F)F)c2)[nH][nH]1,-12.82,0.24,3,-3795.08,-3858.28,76.02,61.5,f4331421f45c096d929c979dd1a06f43,CUDA,
SOD1,CHEMBL1643556,-5.200,O=c1cc(CSc2c(Cl)cccc2Cl)[nH][nH]1,-19.69,0.03,3,-3830.71,-3849.34,38.32,58.7,f4331421f45c096d929c979dd1a06f43,CUDA,
SOD1,CHEMBL2165607,-5.100,CCc1cccc(OCc2cc(=O)[nH][nH]2)c1,-15.16,0.06,3,-3831.06,-3846.81,30.91,57.9,f4331421f45c096d929c979dd1a06f43,CUDA,
SOD1,CHEMBL2165605,-5.300,O=c1cc(COc2ccc(Cl)cc2)[nH][nH]1,-17.61,0.09,3,-3840.45,-3851.3,28.46,58.2,f4331421f45c096d929c979dd1a06f43,CUDA,
SOD1,CHEMBL2165608,-5.400,CC(C)(C)c1cccc(OCc2cc(=O)[nH][nH]2)c1,-16.29,0.07,3,-3834.25,-3854.62,36.67,62.2,f4331421f45c096d929c979dd1a06f43,CUDA,
SOD1,CHEMBL2165612,-5.000,O=c1cc(COc2cccc(Br)c2)[nH][nH]1,-15.77,0.05,3,-3837.98,-3848.45,26.24,58.6,f4331421f45c096d929c979dd1a06f43,CUDA,
SOD1,CHEMBL2165610,-5.100,O=c1cc(COc2cc(F)cc(F)c2)[nH][nH]1,-10.99,0.12,3,-3857.52,-3850.58,4.05,60.0,f4331421f45c096d929c979dd1a06f43,CUDA,
