target,ligand,afinidad,smiles,tipo
TDP43_v2,BERBERINE,-5.700,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC,control
TDP43_v2,KETOCONAZOLE,-6.300,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OCC3COC(O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl,control
SOD1,CHEMBL1939222,-4.700,O=c1cc(COc2cc(Cl)cc(Cl)c2)[nH][nH]1,control
SOD1,CHEMBL1643557,-4.700,O=c1cc(CSc2cc(Cl)cc(Cl)c2)[nH][nH]1,control
SOD1,CHEMBL2165611,-5.000,O=c1cc(COc2cc(Br)cc(Br)c2)[nH][nH]1,control
SOD1,CHEMBL2165609,-5.600,O=c1cc(COc2cc(C(F)(F)F)cc(C(F)(F)F)c2)[nH][nH]1,control
SOD1,CHEMBL1643556,-5.200,O=c1cc(CSc2c(Cl)cccc2Cl)[nH][nH]1,control
SOD1,CHEMBL2165607,-5.100,CCc1cccc(OCc2cc(=O)[nH][nH]2)c1,control
SOD1,CHEMBL2165605,-5.300,O=c1cc(COc2ccc(Cl)cc2)[nH][nH]1,control
SOD1,CHEMBL2165608,-5.400,CC(C)(C)c1cccc(OCc2cc(=O)[nH][nH]2)c1,control
SOD1,CHEMBL2165612,-5.000,O=c1cc(COc2cccc(Br)c2)[nH][nH]1,control
SOD1,CHEMBL2165610,-5.100,O=c1cc(COc2cc(F)cc(F)c2)[nH][nH]1,control
SOD1,CHEMBL2165603,-5.000,O=c1cc(CS(=O)(=O)c2cc(Cl)cc(Cl)c2)[nH][nH]1,control
SOD1,CHEMBL2165604,-5.300,Cc1cc(S(=O)(=O)Cc2cc(=O)[nH][nH]2)c(C)cc1Cl,control
SOD1,CHEMBL2165606,-5.500,CCc1ccc(OCc2cc(=O)[nH][nH]2)cc1,control
SOD1,CHEMBL1643541,-5.400,O=c1cc(CSc2ccc(Cl)cc2)[nH][nH]1,control
SOD1,CHEMBL2165613,-5.800,O=c1cc(COc2cccc(-c3ccccc3)c2)[nH][nH]1,control
SOD1,CHEMBL2165601,-5.800,Cc1cc([S+]([O-])Cc2cc(=O)[nH][nH]2)c(C)cc1Cl,control
SOD1,CHEMBL2165614,-6.000,O=c1cc(COc2cc(-c3ccccc3)cc(-c3ccccc3)c2)[nH][nH]1,control
SOD1,CHEMBL2165602,-5.400,O=c1cc(CS(=O)(=O)c2ccc(Cl)cc2)[nH][nH]1,control
FUS,CHEMBL1863528,-6.7,CS(=O)(=O)Nc1cccc(NC(=O)c2cccc3c(-c4cccc(C(N)=O)c4)coc23)c1,fondo
FUS,CHEMBL16215,-7.0,COc1ccc(NC(=O)Nc2nc3ccccc3n3c(=O)n(-c4ccccc4)nc23)cc1,fondo
FUS,CHEMBL10039,-6.5,O=C(N[C@H](C(=O)O)c1ccccc1)c1cc(-c2ccccc2)nc2ccccc12,fondo
FUS,CHEMBL4581775,-6.6,CC(=O)N1CCN(c2nccc3c(-c4ccc5c(c4)CC(=O)N5)c(-c4ccc(F)cc4)nn23)CC1,fondo
FUS,CHEMBL4568196,-6.6,N#CC1(c2ccc(-c3cnc(N)c(-c4ccc5c(c4)C4(CC4)NC5=O)n3)cc2)CCOCC1,fondo
FUS,CHEMBL4533979,-6.7,Cc1ccc(C)c(NC(=O)Cn2nc3cc(C)nc(Nc4ccc(F)cc4)n3c2=O)c1,fondo
FUS,CHEMBL11757,-6.7,O=S(=O)(Nc1nc2nc(-c3ccccc3)cc(-c3ccccc3)n2n1)c1ccc(Cl)cc1,fondo
FUS,CHEMBL4565085,-6.4,O=C(Nc1cnc(Oc2cccnc2)c(Cl)c1)C1CCN(c2ncccc2Cl)CC1,fondo
FUS,CHEMBL4580639,-6.8,N#Cc1ccc(-c2cnc(N)c(-c3ccc4c(c3)C3(CC3)CNC4=O)n2)cc1,fondo
FUS,CHEMBL495941,-6.5,Cc1ccc(C2c3c(-c4ccccc4)nn(-c4ccccc4)c3Nc3[nH]c(=O)[nH]c(=O)c32)cc1,fondo
FUS,CHEMBL4570741,-7.0,CC1=C(C)C(=O)O[C@@H]([C@](C)(O)[C@H]2CC[C@H]3[C@@H]4[C@H](O)C=C5CC=CC(=O)[C@]5(C)[C@H]4CC[C@]23C)C1,fondo
FUS,CHEMBL4543556,-7.0,Cc1c(C(=O)N2C3CCC2CC(F)(c2ccc(Cl)cc2)C3)cnn1-c1nn2cccc2c(=O)[nH]1,fondo
