ligand,target,vina_affinity,mmgbsa_dG,error
CHEMBL1163245,SOD1,-7.2,-1.18,
CHEMBL1210578,FUS,-6.8,-27.54,
CHEMBL1210578,TDP43,-6.6,,"Particle coordinate is NaN.  For more information, see https://github.com/openmm/openmm/wiki/Frequently-Asked-Questions#nan"
CHEMBL3309775,TDP43,-7.2,-14.87,
CHEMBL3309822,TDP43,-6.7,,'NoneType' object is not subscriptable
CHEMBL3309990,SOD1,-7.1,-5.12,
CHEMBL3310304,SOD1,-7.3,-4.15,
CHEMBL3311449,SOD1,-8.1,-15.79,
CHEMBL601104,TDP43,-7.1,,'NoneType' object is not subscriptable
CHEMBL6900,SOD1,-7.1,-10.92,
CHEMBL7360,SOD1,-7.3,,'NoneType' object is not subscriptable
CHEMBL8905,SOD1,-7.2,-10.19,
CHEMBL9010,SOD1,-7.4,-9.91,
CHEMBL9347,TDP43,-7.2,51.28,
CHEMBL9440,SOD1,-7.1,,'NoneType' object is not subscriptable
CHEMBL9532,FUS,-7.4,-32.22,
CHEMBL9532,SOD1,-7.4,-14.51,
CHEMBL9532,TDP43,-6.9,,"Particle coordinate is NaN.  For more information, see https://github.com/openmm/openmm/wiki/Frequently-Asked-Questions#nan"
