ligand,target,vina_affinity,mmgbsa_dG,e_complex,e_receptor,e_ligand,error
CHEMBL155451,TDP43,-6.6,,,,,TIMEOUT>1800s
CHEMBL1761221,TDP43,-6.6,,,,,TIMEOUT>1800s
CHEMBL3310332,TDP43,-6.6,,,,,TIMEOUT>1800s
CHEMBL3311449,TDP43,-6.6,,,,,TIMEOUT>1800s
CHEMBL7550,TDP43,-6.6,,,,,TIMEOUT>1800s
CHEMBL8891,TDP43,-6.6,,,,,TIMEOUT>1800s
CHEMBL3310332,FUS,-6.6,-16.62,-2771.9,-2519.2,-236.08,
CHEMBL4553134,TDP43,-6.5,19468439190454.86,6.170253306502585e+18,6.170233838063395e+18,73.14,
CHEMBL7305,TDP43,-6.5,,,,,TIMEOUT>1800s
CHEMBL7360,TDP43,-6.5,,,,,'NoneType' object is not subscriptable
CHEMBL9010,TDP43,-6.5,,,,,TIMEOUT>1800s
CHEMBL9387,TDP43,-6.5,,,,,TIMEOUT>1800s
CHEMBL264055,FUS,-6.5,,,,,'NoneType' object is not subscriptable
CHEMBL9010,FUS,-6.5,-24.75,-2660.25,-2520.87,-114.63,
CHEMBL1086063,TDP43,-6.4,,,,,TIMEOUT>1800s
CHEMBL438329,TDP43,-6.4,,,,,TIMEOUT>1800s
CHEMBL6897,TDP43,-6.4,,,,,TIMEOUT>1800s
CHEMBL7256,TDP43,-6.4,,,,,'NoneType' object is not subscriptable
CHEMBL7270,TDP43,-6.4,,,,,TIMEOUT>1800s
CHEMBL8905,TDP43,-6.4,,,,,TIMEOUT>1800s
CHEMBL3309490,FUS,-6.4,-21.32,-2544.24,-2523.23,0.31,
CHEMBL7563,FUS,-6.4,-30.64,-2551.26,-2513.98,-6.63,
CHEMBL7652,FUS,-6.4,-19.54,-2704.17,-2533.17,-151.46,
CHEMBL8905,FUS,-6.4,-22.74,-2668.88,-2523.01,-123.12,
