ligand,target,vina_affinity,mmgbsa_dG,e_complex,e_receptor,e_ligand,error
CHEMBL3311449,SOD1,-8.1,-33.42,-1053.09,-768.79,-250.87,
CHEMBL9010,SOD1,-7.4,-20.02,-847.75,-710.13,-117.6,
CHEMBL9532,SOD1,-7.4,-20.55,-823.83,-688.7,-114.58,
CHEMBL9532,FUS,-7.4,-21.87,-789.75,-652.8,-115.08,
CHEMBL3310304,SOD1,-7.3,-23.75,-710.86,-686.43,-0.67,
CHEMBL3309775,TDP43,-7.2,-14.09,-510.55,-389.59,-106.87,
CHEMBL9347,TDP43,-7.2,-17.13,-469.39,-472.39,20.12,
CHEMBL1163245,SOD1,-7.2,-17.45,-1001.85,-930.36,-54.04,
CHEMBL8905,SOD1,-7.2,-25.81,-807.9,-655.8,-126.28,
CHEMBL3309990,SOD1,-7.1,-16.09,-1039.42,-956.43,-66.89,
CHEMBL6900,SOD1,-7.1,-1.87,-734.02,-722.43,-9.72,
CHEMBL9532,TDP43,-6.9,-13.41,-785.86,-657.29,-115.16,
CHEMBL1210578,FUS,-6.8,-19.05,-865.27,-860.64,14.42,
CHEMBL1210578,TDP43,-6.6,-13.62,-320.68,-319.78,12.72,
CHEMBL155451,TDP43,-6.6,-17.91,-540.98,-487.95,-35.12,
CHEMBL1761221,TDP43,-6.6,-22.39,-531.94,-456.67,-52.88,
CHEMBL3310332,TDP43,-6.6,-20.83,-784.55,-529.46,-234.26,
CHEMBL3311449,TDP43,-6.6,-32.23,-631.85,-349.88,-249.74,
CHEMBL7550,TDP43,-6.6,-15.14,-361.89,-310.32,-36.43,
CHEMBL8891,TDP43,-6.6,-9.71,-486.36,-488.98,12.33,
CHEMBL3310332,FUS,-6.6,-13.88,-874.39,-624.05,-236.46,
CHEMBL4553134,TDP43,-6.5,-17.85,-327.18,-367.69,58.36,
CHEMBL7305,TDP43,-6.5,-23.61,-620.12,-455.09,-141.42,
CHEMBL7360,TDP43,-6.5,0.0,-730.91,-662.76,-68.15,
CHEMBL9010,TDP43,-6.5,-30.62,-478.84,-330.17,-118.04,
CHEMBL9387,TDP43,-6.5,-13.79,-509.27,-442.18,-53.31,
CHEMBL264055,FUS,-6.5,0.21,-787.0,-676.52,-110.69,
CHEMBL9010,FUS,-6.5,-10.65,-798.08,-668.92,-118.51,
CHEMBL1086063,TDP43,-6.4,-18.31,-381.25,-319.76,-43.18,
CHEMBL438329,TDP43,-6.4,-18.4,-244.87,-232.58,6.11,
CHEMBL6897,TDP43,-6.4,-18.33,-839.73,-497.35,-324.05,
CHEMBL7256,TDP43,-6.4,0.0,-450.21,-471.31,21.09,
CHEMBL7270,TDP43,-6.4,-23.14,-483.56,-336.94,-123.47,
CHEMBL8905,TDP43,-6.4,-31.91,-840.71,-682.46,-126.35,
CHEMBL3309490,FUS,-6.4,-10.19,-1065.23,-1054.98,-0.06,
CHEMBL7563,FUS,-6.4,-22.28,-655.68,-625.62,-7.78,
CHEMBL7652,FUS,-6.4,-8.43,-1298.8,-1137.63,-152.73,
CHEMBL8905,FUS,-6.4,-11.21,-807.46,-669.5,-126.75,
CHEMBL7360,SOD1,-7.3,0.0,-594.1,-525.94,-68.16,
CHEMBL601104,TDP43,-7.1,-0.0,-820.11,-467.03,-353.08,
CHEMBL7360,SOD1,-7.3,,,,,TIMEOUT>600s
CHEMBL9440,SOD1,-7.1,0.0,-460.77,-463.54,2.77,
CHEMBL3309822,TDP43,-6.7,0.0,-371.31,-397.17,25.85,
CHEMBL601104,TDP43,-7.1,-0.0,-663.91,-310.87,-353.04,
CHEMBL9440,SOD1,-7.1,-0.0,-461.32,-464.19,2.87,
