target,ligand,afinidad
FUS,ABEMACICLIB,-6.4
FUS,ALECTINIB,-6.5
FUS,AMCINONIDE,-6.8
FUS,ATOGEPANT,-6.4
FUS,AVAPRITINIB,-7.4
FUS,BETAMETHASONE ACETATE,-6.4
FUS,BETAMETHASONE PHOSPHORIC ACID,-6.9
FUS,CEFTOBIPROLE MEDOCARIL FREE ACID,-6.7
FUS,CHEMBL1,-6.5
FUS,CHEMBL10012,-6.6
FUS,CHEMBL10039,-6.5
FUS,CHEMBL10059,-7.2
FUS,CHEMBL10088,-6.4
FUS,CHEMBL10136,-6.8
FUS,CHEMBL10183,-7.7
FUS,CHEMBL10211,-6.4
FUS,CHEMBL10295,-6.4
FUS,CHEMBL10456,-6.9
FUS,CHEMBL10540,-6.6
FUS,CHEMBL10552,-6.6
FUS,CHEMBL10613,-6.4
FUS,CHEMBL10658,-6.4
FUS,CHEMBL1075666,-7.0
FUS,CHEMBL1076047,-6.7
FUS,CHEMBL1076212,-6.7
FUS,CHEMBL1076214,-6.6
FUS,CHEMBL1076217,-6.6
FUS,CHEMBL1076221,-6.4
FUS,CHEMBL1076265,-6.7
FUS,CHEMBL1076286,-6.6
FUS,CHEMBL1076290,-6.9
FUS,CHEMBL1076294,-6.7
FUS,CHEMBL1076341,-6.6
FUS,CHEMBL1076419,-7.0
FUS,CHEMBL1076477,-6.8
FUS,CHEMBL1076656,-6.5
FUS,CHEMBL1076668,-7.6
FUS,CHEMBL1076769,-6.4
FUS,CHEMBL1077095,-6.4
FUS,CHEMBL1077107,-6.9
FUS,CHEMBL1077343,-6.5
FUS,CHEMBL1077450,-6.5
FUS,CHEMBL1079027,-6.5
FUS,CHEMBL1079031,-6.9
FUS,CHEMBL1082437,-7.0
FUS,CHEMBL10826,-6.7
FUS,CHEMBL1084974,-6.6
FUS,CHEMBL1085225,-6.5
FUS,CHEMBL1088172,-6.6
FUS,CHEMBL1089238,-6.7
FUS,CHEMBL1090651,-6.4
FUS,CHEMBL1090660,-6.6
FUS,CHEMBL1090668,-6.4
FUS,CHEMBL1091345,-7.0
FUS,CHEMBL1091702,-7.2
FUS,CHEMBL1092041,-6.9
FUS,CHEMBL1092134,-6.6
FUS,CHEMBL1092443,-6.5
FUS,CHEMBL1094998,-6.7
FUS,CHEMBL1095673,-6.4
FUS,CHEMBL1097899,-6.5
FUS,CHEMBL11244,-6.5
FUS,CHEMBL11349,-6.7
FUS,CHEMBL11378,-7.7
FUS,CHEMBL114,-6.4
FUS,CHEMBL11508,-6.6
FUS,CHEMBL11532,-6.7
FUS,CHEMBL11533,-6.4
FUS,CHEMBL1159639,-6.6
FUS,CHEMBL1159641,-6.9
FUS,CHEMBL1160771,-6.5
FUS,CHEMBL1162038,-6.7
FUS,CHEMBL1162097,-7.7
FUS,CHEMBL1162104,-7.1
FUS,CHEMBL11625,-7.0
FUS,CHEMBL1163060,-6.7
FUS,CHEMBL1163204,-6.5
FUS,CHEMBL1163213,-6.6
FUS,CHEMBL1163217,-7.3
FUS,CHEMBL1163227,-6.8
FUS,CHEMBL1163230,-6.6
FUS,CHEMBL1163233,-6.5
FUS,CHEMBL1163235,-6.4
FUS,CHEMBL1163239,-6.6
FUS,CHEMBL1163250,-6.8
FUS,CHEMBL1163251,-7.0
FUS,CHEMBL1163262,-6.4
FUS,CHEMBL1163272,-6.6
FUS,CHEMBL1163325,-7.1
FUS,CHEMBL1163342,-6.7
FUS,CHEMBL1163346,-6.9
FUS,CHEMBL1163458,-6.7
FUS,CHEMBL1163490,-7.0
FUS,CHEMBL1163491,-7.0
FUS,CHEMBL1163504,-6.7
FUS,CHEMBL1163505,-6.6
FUS,CHEMBL1163508,-6.4
FUS,CHEMBL1163514,-6.6
FUS,CHEMBL1163519,-6.7
FUS,CHEMBL1163540,-6.7
FUS,CHEMBL1163565,-6.8
FUS,CHEMBL1163605,-7.3
FUS,CHEMBL1163606,-6.4
FUS,CHEMBL1163610,-6.4
FUS,CHEMBL1164921,-6.6
FUS,CHEMBL1165737,-6.6
FUS,CHEMBL1170234,-6.7
FUS,CHEMBL1170719,-7.1
FUS,CHEMBL11725,-6.9
FUS,CHEMBL1172569,-6.6
FUS,CHEMBL11732,-6.4
FUS,CHEMBL11745,-6.7
FUS,CHEMBL11757,-6.7
FUS,CHEMBL11778,-6.5
FUS,CHEMBL11791,-6.4
FUS,CHEMBL11793,-6.6
FUS,CHEMBL11796,-6.4
FUS,CHEMBL1182776,-6.4
FUS,CHEMBL1183602,-6.7
FUS,CHEMBL1184214,-6.7
FUS,CHEMBL1185641,-7.2
FUS,CHEMBL1187325,-7.8
FUS,CHEMBL11895,-7.3
FUS,CHEMBL11899,-6.4
FUS,CHEMBL11905,-6.5
FUS,CHEMBL11950,-6.8
FUS,CHEMBL1195625,-6.8
FUS,CHEMBL1199189,-6.6
FUS,CHEMBL1200656,-6.6
FUS,CHEMBL12018,-6.8
FUS,CHEMBL1204482,-6.4
FUS,CHEMBL1204564,-6.4
FUS,CHEMBL1204619,-6.5
FUS,CHEMBL1204622,-6.4
FUS,CHEMBL1204624,-6.6
FUS,CHEMBL1205646,-6.4
FUS,CHEMBL1205665,-7.1
FUS,CHEMBL1205678,-6.4
FUS,CHEMBL1205859,-6.4
FUS,CHEMBL1205886,-6.4
FUS,CHEMBL1205903,-6.4
FUS,CHEMBL1205904,-6.6
FUS,CHEMBL1205929,-6.5
FUS,CHEMBL1205931,-6.4
FUS,CHEMBL1205954,-6.4
FUS,CHEMBL1205972,-6.5
FUS,CHEMBL1205996,-6.5
FUS,CHEMBL1206052,-6.4
FUS,CHEMBL1206120,-6.4
FUS,CHEMBL1206150,-6.8
FUS,CHEMBL1206161,-7.2
FUS,CHEMBL1206204,-6.5
FUS,CHEMBL1206279,-6.4
FUS,CHEMBL1206280,-6.6
FUS,CHEMBL1206282,-6.4
FUS,CHEMBL1206313,-6.4
FUS,CHEMBL1206322,-7.4
FUS,CHEMBL1206348,-6.7
FUS,CHEMBL1206351,-7.2
FUS,CHEMBL1206364,-7.6
FUS,CHEMBL1206368,-6.6
FUS,CHEMBL1206388,-7.6
FUS,CHEMBL1206409,-6.7
FUS,CHEMBL1206417,-6.5
FUS,CHEMBL1206425,-6.5
FUS,CHEMBL1206473,-6.5
FUS,CHEMBL1206480,-6.6
FUS,CHEMBL1206488,-6.5
FUS,CHEMBL1206489,-6.5
FUS,CHEMBL1206490,-6.5
FUS,CHEMBL1206500,-6.6
FUS,CHEMBL1206537,-6.4
FUS,CHEMBL1206581,-6.6
FUS,CHEMBL1206599,-6.4
FUS,CHEMBL1206693,-6.7
FUS,CHEMBL1206708,-6.4
FUS,CHEMBL1206733,-6.4
FUS,CHEMBL1206807,-7.0
FUS,CHEMBL1206810,-6.7
FUS,CHEMBL1206864,-6.4
FUS,CHEMBL1206876,-6.9
FUS,CHEMBL1206881,-6.6
FUS,CHEMBL1206889,-6.7
FUS,CHEMBL1206890,-6.7
FUS,CHEMBL1206905,-6.8
FUS,CHEMBL1206914,-6.7
FUS,CHEMBL1206919,-6.4
FUS,CHEMBL1206921,-6.6
FUS,CHEMBL1206923,-6.5
FUS,CHEMBL1206949,-6.6
FUS,CHEMBL1206950,-6.4
FUS,CHEMBL1206963,-6.8
FUS,CHEMBL1206967,-6.4
FUS,CHEMBL1206982,-7.1
FUS,CHEMBL1206988,-6.4
FUS,CHEMBL1207005,-6.9
FUS,CHEMBL1207111,-6.4
FUS,CHEMBL1207130,-6.4
FUS,CHEMBL1207133,-6.4
FUS,CHEMBL1207144,-6.5
FUS,CHEMBL1207147,-6.5
FUS,CHEMBL1207150,-6.6
FUS,CHEMBL1207157,-6.5
FUS,CHEMBL1207158,-6.5
FUS,CHEMBL1207183,-6.4
FUS,CHEMBL1207212,-6.4
FUS,CHEMBL1207221,-6.8
FUS,CHEMBL1207227,-6.6
FUS,CHEMBL1207261,-6.5
FUS,CHEMBL1207280,-7.4
FUS,CHEMBL1207287,-6.6
FUS,CHEMBL1207300,-6.8
FUS,CHEMBL1207301,-6.7
FUS,CHEMBL1207368,-6.5
FUS,CHEMBL1207384,-6.6
FUS,CHEMBL1207421,-6.5
FUS,CHEMBL1207472,-6.4
FUS,CHEMBL1207473,-6.4
FUS,CHEMBL1207502,-7.4
FUS,CHEMBL1207524,-7.0
FUS,CHEMBL1207578,-6.4
FUS,CHEMBL1207589,-6.4
FUS,CHEMBL1207600,-6.5
FUS,CHEMBL1207696,-7.2
FUS,CHEMBL1207710,-7.2
FUS,CHEMBL1207748,-6.9
FUS,CHEMBL1207783,-6.8
FUS,CHEMBL1207821,-8.4
FUS,CHEMBL1207829,-6.9
FUS,CHEMBL1207851,-6.8
FUS,CHEMBL1207864,-6.4
FUS,CHEMBL1207888,-6.4
FUS,CHEMBL1207916,-6.9
FUS,CHEMBL1207932,-6.5
FUS,CHEMBL1207933,-6.8
FUS,CHEMBL1208051,-6.4
FUS,CHEMBL1208057,-6.4
FUS,CHEMBL1208083,-7.2
FUS,CHEMBL1208089,-7.1
FUS,CHEMBL1208091,-7.0
FUS,CHEMBL1208096,-6.4
FUS,CHEMBL1208098,-6.6
FUS,CHEMBL1208131,-7.0
FUS,CHEMBL1208135,-6.4
FUS,CHEMBL1208158,-6.4
FUS,CHEMBL1208159,-7.0
FUS,CHEMBL1208265,-6.6
FUS,CHEMBL1208270,-6.6
FUS,CHEMBL1208280,-6.9
FUS,CHEMBL1208432,-6.5
FUS,CHEMBL1208433,-7.1
FUS,CHEMBL1208438,-6.9
FUS,CHEMBL1208479,-6.7
FUS,CHEMBL1208600,-6.6
FUS,CHEMBL1208793,-7.0
FUS,CHEMBL1208802,-6.6
FUS,CHEMBL1208831,-6.4
FUS,CHEMBL1208903,-7.1
FUS,CHEMBL1209719,-8.6
FUS,CHEMBL1209725,-9.1
FUS,CHEMBL12098,-6.5
FUS,CHEMBL1209968,-6.4
FUS,CHEMBL1210298,-6.5
FUS,CHEMBL1210303,-6.8
