pdb,ligando,cadena,num,atomos_cerca,dist_min_A,nombre,formula,peso,smiles
4a7g,12I,,1001,17,3.29,4-(4-METHYLPIPERAZIN-1-YL)QUINAZOLINE,C13 H16 N4,228.293,CN1CCN(CC1)c2c3ccccc3ncn2
4a7g,12I,,1000,16,3.3,4-(4-METHYLPIPERAZIN-1-YL)QUINAZOLINE,C13 H16 N4,228.293,CN1CCN(CC1)c2c3ccccc3ncn2
4a7q,4MQ,,1000,34,3.41,"4-(4-METHYL-1,4-DIAZEPAN-1-YL)QUINAZOLINE",C14 H18 N4,242.32,CN1CCCN(CC1)c2c3ccccc3ncn2
4a7t,5FW,,1000,7,3.44,ISOPRENALINE,C11 H17 N O3,211.258,CC(C)NC[C@@H](c1ccc(c(c1)O)O)O
4a7t,5FW,,1002,9,3.13,ISOPRENALINE,C11 H17 N O3,211.258,CC(C)NC[C@@H](c1ccc(c(c1)O)O)O
4a7t,5FW,,1001,9,3.7,ISOPRENALINE,C11 H17 N O3,211.258,CC(C)NC[C@@H](c1ccc(c(c1)O)O)O
4a7s,5UD,,1159,17,3.09,5-FLUOROURIDINE,C9 H11 F N2 O6,262.192,C1=C(C(=O)NC(=O)N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)F
4a7s,5UD,,1160,18,2.58,5-FLUOROURIDINE,C9 H11 F N2 O6,262.192,C1=C(C(=O)NC(=O)N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)F
6a9o,6B3,,201,20,3.39,"2'-[(6-oxo-5,6-dihydrophenanthridin-3-yl)carbamoyl][1,1'-biphenyl]-2-carboxylic acid",C27 H18 N2 O4,434.443,c1ccc2c(c1)-c3ccc(cc3NC2=O)NC(=O)c4ccccc4c5ccccc5C(=O)O
5yto,946,,203,13,3.6,"4-[(1~{R})-2-(naphthalen-2-ylmethylamino)-1-oxidanyl-ethyl]benzene-1,2-diol",C19 H19 N O3,309.359,c1ccc2cc(ccc2c1)CNC[C@@H](c3ccc(c(c3)O)O)O
5yto,946,,202,14,3.45,"4-[(1~{R})-2-(naphthalen-2-ylmethylamino)-1-oxidanyl-ethyl]benzene-1,2-diol",C19 H19 N O3,309.359,c1ccc2cc(ccc2c1)CNC[C@@H](c3ccc(c(c3)O)O)O
4a7u,ALE,,1001,3,3.69,L-EPINEPHRINE,C9 H13 N O3,183.204,CNC[C@@H](c1ccc(c(c1)O)O)O
8gsq,K4I,,202,25,3.33,"(9~{R})-3-[2-[4-(6-fluoranyl-1,2-benzoxazol-3-yl)piperidin-1-yl]ethyl]-2-methyl-9-oxidanyl-6,7,8,9-tetrahydropyrido[1,2-a]pyrimidin-4-one",C23 H27 F N4 O3,426.484,CC1=C(C(=O)N2CCC[C@H](C2=N1)O)CCN3CCC(CC3)c4c5ccc(cc5on4)F
4a7v,LDP,,1000,1,5.92,L-DOPAMINE,C8 H11 N O2,153.178,c1cc(c(cc1CCN)O)O
2wz5,MET,,158,4,3.82,METHIONINE,C5 H11 N O2 S,149.211,CSCC[C@@H](C(=O)O)N
2wz5,MET,A,158,4,3.64,METHIONINE,C5 H11 N O2 S,149.211,CSCC[C@@H](C(=O)O)N
2wz5,MET,B,158,4,3.79,METHIONINE,C5 H11 N O2 S,149.211,CSCC[C@@H](C(=O)O)N
6fp6,PPI,,202,5,3.68,PROPANOIC ACID,C3 H6 O2,74.079,CCC(=O)O
2wz6,ZO0,,204,22,3.43,"4-(4-METHYL-1,4-DIAZEPAN-1-YL)-2-(TRIFLUOROMETHYL)QUINAZOLINE",C15 H17 F3 N4,310.317,CN1CCCN(CC1)c2c3ccccc3nc(n2)C(F)(F)F
2wz6,ZO0,,206,22,3.18,"4-(4-METHYL-1,4-DIAZEPAN-1-YL)-2-(TRIFLUOROMETHYL)QUINAZOLINE",C15 H17 F3 N4,310.317,CN1CCCN(CC1)c2c3ccccc3nc(n2)C(F)(F)F
2wz0,ZZT,,158,20,3.33,2-METHOXY-5-METHYLANILINE,C8 H11 N O,137.179,Cc1ccc(c(c1)N)OC
