ligand,rol,affinity
DEC_Sertraline,decoy,-10.151
DEC_CHEMBL1332994,decoy,-5.884
ACT_Dehydroxymethylflazine,activo,-5.788
DEC_CHEMBL1510247,decoy,-5.701
DEC_CHEMBL1372890,decoy,-5.688
DEC_CHEMBL19954,decoy,-5.642
DEC_CHEMBL1491689,decoy,-5.453
DEC_CHEMBL1524176,decoy,-5.342
DEC_CHEMBL1476890,decoy,-5.254
DEC_CHEMBL1346563,decoy,-5.075
DEC_CHEMBL1441049,decoy,-5.061
DEC_CHEMBL1390550,decoy,-5.05
DEC_CHEMBL1452318,decoy,-5.022
DEC_IPRIFLAVONE,decoy,-4.97
DEC_CHEMBL1344270,decoy,-4.965
DEC_CHEMBL1429107,decoy,-4.943
DEC_CHEMBL1643557,decoy,-4.938
DEC_CHEMBL1732240,decoy,-4.931
DEC_CHEMBL1343719,decoy,-4.908
DEC_CHEMBL1303632,decoy,-4.897
DEC_CHEMBL1613653,decoy,-4.869
DEC_Teriflunomide,decoy,-4.805
DEC_CHEMBL1712322,decoy,-4.79
DEC_CHEMBL1539969,decoy,-4.759
DEC_CHEMBL1575033,decoy,-4.743
DEC_CHEMBL1563897,decoy,-4.722
DEC_CHEMBL1470087,decoy,-4.718
DEC_CHEMBL1437579,decoy,-4.694
DEC_CHEMBL1643556,decoy,-4.645
ACT_CleroindicinC,activo,-4.444
DEC_CHEMBL1430939,decoy,-4.425
DEC_CHEMBL1597270,decoy,-4.416
DEC_Pyridoxine,decoy,-4.265
DEC_Deferiprone,decoy,-3.904
DEC_Dimethyl_Fumarate,decoy,-3.562
