ligand,rol,affinity
DEC_Sertraline,decoy,-10.004
DEC_CHEMBL629,decoy,-9.851
DEC_CHEMBL11,decoy,-9.395
DEC_CHEMBL19954,decoy,-5.787
DEC_CHEMBL7735,decoy,-5.748
DEC_CHEMBL1372890,decoy,-5.672
DEC_CHEMBL1316,decoy,-5.664
ACT_Dehydroxymethylflazine,activo,-5.547
DEC_CHEMBL1332994,decoy,-5.456
DEC_CHEMBL15870,decoy,-5.448
DEC_CHEMBL1524176,decoy,-5.418
DEC_CHEMBL9392,decoy,-5.408
DEC_CHEMBL1390550,decoy,-5.387
DEC_CHEMBL1510247,decoy,-5.369
DEC_CHEMBL1346563,decoy,-5.294
DEC_CHEMBL1643895,decoy,-5.157
DEC_CHEMBL597,decoy,-5.096
DEC_CHEMBL1643557,decoy,-5.091
DEC_CHEMBL2042122,decoy,-5.082
DEC_CHEMBL169901,decoy,-5.078
DEC_CHEMBL1303632,decoy,-5.009
DEC_IPRIFLAVONE,decoy,-5.008
DEC_CHEMBL579205,decoy,-5.005
DEC_CHEMBL1628227,decoy,-4.994
DEC_CHEMBL1201319,decoy,-4.981
DEC_CHEMBL165790,decoy,-4.945
DEC_CHEMBL21731,decoy,-4.938
DEC_CHEMBL1476890,decoy,-4.91
DEC_CHEMBL1429107,decoy,-4.892
DEC_CHEMBL1492,decoy,-4.891
DEC_Teriflunomide,decoy,-4.878
DEC_CHEMBL1480987,decoy,-4.866
DEC_CHEMBL1343719,decoy,-4.865
DEC_CHEMBL1613653,decoy,-4.863
DEC_CHEMBL806,decoy,-4.828
DEC_CHEMBL1575033,decoy,-4.811
DEC_CHEMBL1452318,decoy,-4.799
DEC_CHEMBL1732240,decoy,-4.792
DEC_CHEMBL1563897,decoy,-4.765
DEC_CHEMBL1643556,decoy,-4.749
DEC_CHEMBL1201340,decoy,-4.729
DEC_CHEMBL855,decoy,-4.722
DEC_CHEMBL669,decoy,-4.72
DEC_CHEMBL1491689,decoy,-4.715
DEC_CHEMBL1470087,decoy,-4.705
DEC_CHEMBL1441049,decoy,-4.69
DEC_CHEMBL1465,decoy,-4.675
DEC_CHEMBL1712322,decoy,-4.672
DEC_CHEMBL106258,decoy,-4.671
DEC_CHEMBL1344270,decoy,-4.595
DEC_CHEMBL1437579,decoy,-4.563
DEC_CHEMBL108545,decoy,-4.549
DEC_CHEMBL276832,decoy,-4.546
DEC_CHEMBL1430939,decoy,-4.531
DEC_CHEMBL64,decoy,-4.528
DEC_CHEMBL877,decoy,-4.502
DEC_CHEMBL704,decoy,-4.498
DEC_CHEMBL1909283,decoy,-4.484
DEC_CHEMBL424,decoy,-4.456
DEC_CHEMBL1539969,decoy,-4.448
DEC_CHEMBL1597270,decoy,-4.446
DEC_CHEMBL1437,decoy,-4.445
ACT_CleroindicinC,activo,-4.441
DEC_CHEMBL1169,decoy,-4.43
DEC_CHEMBL221722,decoy,-4.399
DEC_CHEMBL1077896,decoy,-4.372
DEC_CHEMBL345714,decoy,-4.335
DEC_CHEMBL1364,decoy,-4.334
DEC_CHEMBL61006,decoy,-4.259
DEC_CHEMBL21,decoy,-4.251
DEC_Pyridoxine,decoy,-4.244
DEC_CHEMBL727,decoy,-4.181
DEC_CHEMBL1593719,decoy,-4.16
DEC_CHEMBL59,decoy,-4.1
DEC_CHEMBL1100,decoy,-3.928
DEC_CHEMBL696,decoy,-3.909
DEC_Deferiprone,decoy,-3.887
DEC_CHEMBL70927,decoy,-3.87
DEC_CHEMBL1420,decoy,-3.828
DEC_CHEMBL119423,decoy,-3.801
DEC_CHEMBL770,decoy,-3.747
DEC_CHEMBL1425,decoy,-3.715
DEC_CHEMBL1757,decoy,-3.612
DEC_CHEMBL1430,decoy,-3.561
DEC_CHEMBL2107333,decoy,-3.544
DEC_Dimethyl_Fumarate,decoy,-3.53
DEC_CHEMBL455917,decoy,-3.366
DEC_CHEMBL695,decoy,-3.289
DEC_CHEMBL1098319,decoy,-3.19
