ligand,rol,affinity
DEC_CHEMBL1554159,decoy,-10.0
DEC_CHEMBL2356527,decoy,-8.965
"DEC_1,4-BIS(3'-PYRAZOLYLAMINO)BENZO[G]PHTHALAZINE",decoy,-7.208
ACT_CHEMBL2165614,activo,-7.171
ACT_PRG-A01,activo,-7.07
DEC_CHEMBL1491654,decoy,-6.987
DEC_Quercetin,decoy,-6.922
DEC_CHEMBL3214262,decoy,-6.906
DEC_CHEMBL1402356,decoy,-6.897
DEC_Luteolin,decoy,-6.888
DEC_CHEMBL1309718,decoy,-6.883
DEC_KAEMPFEROL,decoy,-6.871
DEC_CHEMBL1591882,decoy,-6.791
DEC_CHEMBL1327582,decoy,-6.745
DEC_Baicalein,decoy,-6.671
DEC_CHEMBL1475748,decoy,-6.664
DEC_Apigenin,decoy,-6.647
DEC_CHEMBL1429038,decoy,-6.558
DEC_CHEMBL124937,decoy,-6.507
DEC_CHEMBL1373390,decoy,-6.478
DEC_CHEMBL1413381,decoy,-6.471
DEC_CHEMBL1472702,decoy,-6.456
ACT_CHEMBL2165609,activo,-6.437
DEC_CHEMBL1708737,decoy,-6.434
DEC_CHEMBL272808,decoy,-6.399
ACT_CHEMBL2165613,activo,-6.393
DEC_CHEMBL1383019,decoy,-6.376
DEC_CHEMBL1210791,decoy,-6.364
DEC_CHEMBL1431783,decoy,-6.361
DEC_CHEMBL3208261,decoy,-6.351
DEC_CHEMBL1330118,decoy,-6.344
DEC_Genistein,decoy,-6.329
DEC_CHEMBL1732294,decoy,-6.287
DEC_ONONETIN,decoy,-6.279
DEC_CHEMBL1486005,decoy,-6.27
DEC_CHEMBL1452318,decoy,-6.258
DEC_CHEMBL1510247,decoy,-6.233
DEC_CHEMBL1470903,decoy,-6.223
DEC_CHEMBL1896176,decoy,-6.198
DEC_CHEMBL1315185,decoy,-6.192
DEC_CHEMBL166209,decoy,-6.171
DEC_CHEMBL1304181,decoy,-6.16
DEC_CHEMBL1900310,decoy,-6.133
DEC_CHEMBL1413075,decoy,-6.129
DEC_CHEMBL2136341,decoy,-6.111
DEC_5-HYDROXYFLAVONE,decoy,-6.096
DEC_CHEMBL1875761,decoy,-6.078
DEC_CHEMBL1900501,decoy,-6.074
DEC_CHEMBL1530615,decoy,-6.052
DEC_CHEMBL1332994,decoy,-6.046
DEC_CHEMBL1879692,decoy,-6.028
DEC_CHEMBL1587018,decoy,-6.023
DEC_CHEMBL1536059,decoy,-6.016
ACT_CHEMBL2165608,activo,-6.014
DEC_CHEMBL1731670,decoy,-6.012
DEC_CHEMBL1091584,decoy,-5.986
DEC_CHEMBL1435511,decoy,-5.974
DEC_CHEMBL1462643,decoy,-5.967
DEC_CHEMBL1570913,decoy,-5.958
DEC_CHEMBL1461506,decoy,-5.911
DEC_CHEMBL2165608,decoy,-5.907
DEC_CHEMBL1579999,decoy,-5.902
DEC_CHEMBL1570226,decoy,-5.899
DEC_CHEMBL1712280,decoy,-5.899
DEC_CHEMBL1441905,decoy,-5.897
DEC_CHEMBL1437517,decoy,-5.894
DEC_CHEMBL3194612,decoy,-5.887
ACT_CHEMBL2165601,activo,-5.884
