familia,n_activos,fondo,n_fondo,media_activos,media_fondo,AUC,AUC_sin_tamano,EF1%,EF5%
independientes,2,emparejado nuevo,140,-5.57,-5.02,0.686,0.532,0.0,0.0
independientes,2,emparejado antiguo,199,-5.57,-5.24,0.628,0.586,0.0,10.0
independientes,2,duro,143,-5.57,-5.31,0.615,0.493,0.0,0.0
independientes,2,los tres juntos,482,-5.57,-5.2,0.641,0.54,0.0,0.0
serie,1,emparejado nuevo,140,-6.37,-5.02,0.943,0.964,0.0,0.0
serie,1,emparejado antiguo,199,-6.37,-5.24,0.98,0.977,0.0,20.0
serie,1,duro,143,-6.37,-5.31,0.916,0.965,0.0,0.0
serie,1,los tres juntos,482,-6.37,-5.2,0.95,0.969,0.0,0.0
co-cristalizados,4,emparejado nuevo,140,-4.96,-5.02,0.432,0.67,0.0,0.0
co-cristalizados,4,emparejado antiguo,199,-4.96,-5.24,0.328,0.71,0.0,0.0
co-cristalizados,4,duro,143,-4.96,-5.31,0.327,0.617,0.0,0.0
co-cristalizados,4,los tres juntos,482,-4.96,-5.2,0.358,0.668,0.0,0.0
todos,7,emparejado nuevo,140,-5.33,-5.02,0.578,0.672,0.0,0.0
todos,7,emparejado antiguo,199,-5.33,-5.24,0.507,0.713,0.0,5.71
todos,7,duro,143,-5.33,-5.31,0.494,0.631,0.0,0.0
todos,7,los tres juntos,482,-5.33,-5.2,0.523,0.675,0.0,0.0
