familia,n_activos,fondo,n_fondo,media_activos,media_fondo,AUC,AUC_sin_tamano,EF1%,EF5%
independientes,2,emparejado nuevo,140,-5.57,-5.24,0.671,0.486,0.0,0.0
independientes,2,emparejado antiguo,199,-5.57,-5.24,0.628,0.566,0.0,10.0
independientes,2,duro,143,-5.57,-5.47,0.598,0.462,0.0,0.0
independientes,2,los tres juntos,482,-5.57,-5.31,0.632,0.509,0.0,0.0
serie,1,emparejado nuevo,140,-6.37,-5.24,0.914,0.936,0.0,0.0
serie,1,emparejado antiguo,199,-6.37,-5.24,0.98,0.977,0.0,20.0
serie,1,duro,143,-6.37,-5.47,0.881,0.93,0.0,0.0
serie,1,los tres juntos,482,-6.37,-5.31,0.932,0.95,0.0,0.0
co-cristalizados,4,emparejado nuevo,140,-4.96,-5.24,0.425,0.661,0.0,0.0
co-cristalizados,4,emparejado antiguo,199,-4.96,-5.24,0.328,0.746,0.0,0.0
co-cristalizados,4,duro,143,-4.96,-5.47,0.316,0.624,0.0,0.0
co-cristalizados,4,los tres juntos,482,-4.96,-5.31,0.353,0.682,0.0,0.0
todos,7,emparejado nuevo,140,-5.33,-5.24,0.565,0.65,0.0,0.0
todos,7,emparejado antiguo,199,-5.33,-5.24,0.507,0.727,0.0,5.71
todos,7,duro,143,-5.33,-5.47,0.478,0.621,0.0,0.0
todos,7,los tres juntos,482,-5.33,-5.31,0.515,0.671,0.0,0.0
