nombre,motivos
CHEMBL10012,fosfonato
CHEMBL1006,fosfonato
CHEMBL1009,catecol
CHEMBL101,hidrazida
CHEMBL105,quinona+catecol-en-ona
CHEMBL1077248,catecol
CHEMBL1161220,fosfonato
CHEMBL1162123,catecol
CHEMBL117785,catecol
CHEMBL1201117,catecol
CHEMBL1201168,hidrazida
CHEMBL1201213,catecol
CHEMBL1201233,catecol
CHEMBL1201236,catecol
CHEMBL1201251,catecol
CHEMBL1201273,catecol
CHEMBL1201317,fosfonato
CHEMBL1201345,sulfonato
CHEMBL1201348,fosfonato
CHEMBL1201766,fosfonato
CHEMBL1208,catecol
CHEMBL1228,hidrazida
CHEMBL1256841,hidrazida
CHEMBL1303069,hidrazida+tiosemicarbazona
CHEMBL1304194,hidrazida
CHEMBL1310629,catecol
CHEMBL1311703,catecol
CHEMBL1324,catecol+o-aminofenol
CHEMBL1343730,hidrazida+tiosemicarbazona
CHEMBL1350,fosfonato
CHEMBL1362943,hidrazida
CHEMBL1383511,tiol
CHEMBL1391531,catecol
CHEMBL1401346,tiol
CHEMBL1406300,tiol
CHEMBL1409776,tiol
CHEMBL1418679,catecol
CHEMBL14370,catecol
CHEMBL1437579,tiol
CHEMBL1452696,hidrazida
CHEMBL1457,catecol
CHEMBL1457583,catecol+pirogalol
CHEMBL1462043,tiol
CHEMBL1470097,hidrazida
CHEMBL1485521,catecol
CHEMBL1486005,catecol
CHEMBL1501518,tiol
CHEMBL1507664,tiol
CHEMBL152,fosfonato
CHEMBL1524140,hidrazida
CHEMBL1530615,catecol
CHEMBL1536068,tiol
CHEMBL1540430,tiol
CHEMBL1540525,hidrazida+tiosemicarbazona
CHEMBL1547534,tiol
CHEMBL1551968,catecol
CHEMBL1563897,tiol
CHEMBL1570373,catecol
CHEMBL1578770,tiol
CHEMBL1595,catecol
CHEMBL1597201,catecol
CHEMBL1597289,catecol
CHEMBL1601733,catecol
CHEMBL1602108,catecol
CHEMBL1689063,sulfonato
CHEMBL1728200,tiol
CHEMBL1865134,sulfonato
CHEMBL1872278,catecol
CHEMBL1877893,catecol
CHEMBL19130,catecol
CHEMBL19179,hidroxamato
CHEMBL1978331,catecol
CHEMBL1983350,catecol
CHEMBL20160,hidroxamato
CHEMBL20287,hidroxamato
CHEMBL203266,catecol+pirogalol
CHEMBL2103827,catecol
CHEMBL2105345,catecol
CHEMBL2110978,sulfonato
CHEMBL22,catecol+pirogalol
CHEMBL23647,hidrazida
CHEMBL25014,catecol
CHEMBL252556,quinona+catecol-en-ona
CHEMBL26518,hidroxamato
CHEMBL27556,hidroxamato
CHEMBL28280,hidroxamato
CHEMBL294199,catecol
CHEMBL295124,catecol
CHEMBL306700,catecol
CHEMBL311498,catecol
CHEMBL3137326,catecol
CHEMBL313972,catecol
CHEMBL319144,fosfonato
CHEMBL329522,catecol+pirogalol
CHEMBL3309763,catecol+hidroxamato
CHEMBL3309985,catecol
CHEMBL3309988,catecol
CHEMBL3309993,catecol
CHEMBL3310302,hidrazida
CHEMBL3310377,hidrazida
CHEMBL3311423,catecol
CHEMBL3774966,tiol
CHEMBL398707,catecol
CHEMBL408513,hidroxamato
CHEMBL427216,hidrazida
CHEMBL4298137,sulfonato
CHEMBL434,catecol
CHEMBL4543361,catecol
CHEMBL4594379,catecol+fosfonato
CHEMBL461522,sulfonato
CHEMBL4802240,catecol+fosfonato
CHEMBL485,catecol
CHEMBL490,catecol
CHEMBL503634,catecol+pirogalol
CHEMBL53,catecol
CHEMBL546,catecol
CHEMBL588,catecol
CHEMBL656,catecol
CHEMBL659,catecol
CHEMBL677,catecol
CHEMBL679,catecol
CHEMBL70,catecol
CHEMBL7334,catecol
CHEMBL7790,catecol
CHEMBL7855,catecol
CHEMBL80,catecol
CHEMBL817,hidrazida
CHEMBL834,fosfonato
CHEMBL8488,sulfonato
CHEMBL849,catecol
CHEMBL870,fosfonato
CHEMBL871,fosfonato
CHEMBL8960,catecol
CHEMBL923,fosfonato
CHEMBL924,fosfonato
CHEMBL926,catecol
CHEMBL93,hidroxamato
CHEMBL94394,hidroxamato
CHEMBL953,catecol+o-aminofenol
CHEMBL963,catecol
CHEMBL98,hidroxamato
CHEMBL980,catecol
CHEMBL997,fosfonato
