fondo,nombre,motivos
emparejado,CHEMBL1037,
emparejado,CHEMBL1068,
emparejado,CHEMBL108545,
emparejado,CHEMBL1100,
emparejado,CHEMBL1102,
emparejado,CHEMBL1115,
emparejado,CHEMBL1118,
emparejado,CHEMBL112,
emparejado,CHEMBL1169,
emparejado,CHEMBL1177,
emparejado,CHEMBL119423,
emparejado,CHEMBL1200790,
emparejado,CHEMBL1201073,
emparejado,CHEMBL1201260,
emparejado,CHEMBL1201293,
emparejado,CHEMBL1232131,
emparejado,CHEMBL1232461,
emparejado,CHEMBL1237044,
emparejado,CHEMBL124937,
emparejado,CHEMBL12856,
emparejado,CHEMBL1304181,
emparejado,CHEMBL1305,
emparejado,CHEMBL1372889,
emparejado,CHEMBL1374893,
emparejado,CHEMBL1377,
emparejado,CHEMBL14043,
emparejado,CHEMBL1414576,
emparejado,CHEMBL1425,
emparejado,CHEMBL1430,
emparejado,CHEMBL1431783,
emparejado,CHEMBL1440455,
emparejado,CHEMBL1441905,
emparejado,CHEMBL1446677,
emparejado,CHEMBL1461506,
emparejado,CHEMBL1468265,
emparejado,CHEMBL1474963,
emparejado,CHEMBL1482,
emparejado,CHEMBL1483,
emparejado,CHEMBL1509423,
emparejado,CHEMBL15139,
emparejado,CHEMBL1546,
emparejado,CHEMBL1560,
emparejado,CHEMBL1571416,
emparejado,CHEMBL1574931,
emparejado,CHEMBL1591882,
emparejado,CHEMBL1593719,
emparejado,CHEMBL170988,
emparejado,CHEMBL1712280,
emparejado,CHEMBL17224,
emparejado,CHEMBL1728134,
emparejado,CHEMBL1730073,
emparejado,CHEMBL1738,
emparejado,CHEMBL1752,
emparejado,CHEMBL17860,
emparejado,CHEMBL18116,
emparejado,CHEMBL1879748,
emparejado,CHEMBL188952,
emparejado,CHEMBL1896432,
emparejado,CHEMBL1909282,
emparejado,CHEMBL1939222,
emparejado,CHEMBL1969867,
emparejado,CHEMBL20651,
emparejado,CHEMBL21042,
emparejado,CHEMBL2105420,
emparejado,CHEMBL2106939,
emparejado,CHEMBL21594,
emparejado,CHEMBL2165606,
emparejado,CHEMBL2165607,
emparejado,CHEMBL218291,
emparejado,CHEMBL229128,
emparejado,CHEMBL25,
emparejado,CHEMBL266960,
emparejado,CHEMBL267400,
emparejado,CHEMBL27275,
emparejado,CHEMBL276832,
emparejado,CHEMBL282052,
emparejado,CHEMBL28286,
emparejado,CHEMBL289480,
emparejado,CHEMBL301265,
emparejado,CHEMBL315985,
emparejado,CHEMBL3213756,
emparejado,CHEMBL3400972,
emparejado,CHEMBL345714,
emparejado,CHEMBL3547132,
emparejado,CHEMBL39736,
emparejado,CHEMBL419,
emparejado,CHEMBL427,
emparejado,CHEMBL443052,
emparejado,CHEMBL4435035,
emparejado,CHEMBL4435214,
emparejado,CHEMBL4435669,
emparejado,CHEMBL4435744,
emparejado,CHEMBL4436558,
emparejado,CHEMBL444,
emparejado,CHEMBL445,
emparejado,CHEMBL449,
emparejado,CHEMBL4553656,
emparejado,CHEMBL459,
emparejado,CHEMBL465026,
emparejado,CHEMBL469,
emparejado,CHEMBL473417,
emparejado,CHEMBL476,
emparejado,CHEMBL498847,
emparejado,CHEMBL513,
emparejado,CHEMBL524,
emparejado,CHEMBL550,
emparejado,CHEMBL584766,
emparejado,CHEMBL591,
emparejado,CHEMBL592,
emparejado,CHEMBL595793,
emparejado,CHEMBL607400,
emparejado,CHEMBL61006,
emparejado,CHEMBL648,
emparejado,CHEMBL667,
emparejado,CHEMBL671,
emparejado,CHEMBL701,
emparejado,CHEMBL704,
emparejado,CHEMBL712,
emparejado,CHEMBL72,
emparejado,CHEMBL741,
emparejado,CHEMBL750,
emparejado,CHEMBL760,
emparejado,CHEMBL762,
emparejado,CHEMBL770,
emparejado,CHEMBL7863,
emparejado,CHEMBL7946,
emparejado,CHEMBL7969,
emparejado,CHEMBL797,
emparejado,CHEMBL830,
emparejado,CHEMBL8328,
emparejado,CHEMBL856,
emparejado,CHEMBL861,
emparejado,CHEMBL877,
emparejado,CHEMBL898,
emparejado,CHEMBL918,
emparejado,CHEMBL92401,
emparejado,CHEMBL925,
emparejado,CHEMBL9250,
emparejado,CHEMBL965,
emparejado,CHEMBL978,
emparejado,CHEMBL979,
duro,CHEMBL10012,fosfonato
duro,CHEMBL1006,fosfonato
duro,CHEMBL1009,catecol
duro,CHEMBL101,hidrazida
duro,CHEMBL105,quinona+catecol-en-ona
duro,CHEMBL1077248,catecol
duro,CHEMBL1161220,fosfonato
duro,CHEMBL1162123,catecol
duro,CHEMBL117785,catecol
duro,CHEMBL1201117,catecol
duro,CHEMBL1201168,hidrazida
duro,CHEMBL1201213,catecol
duro,CHEMBL1201233,catecol
duro,CHEMBL1201236,catecol
duro,CHEMBL1201251,catecol
duro,CHEMBL1201273,catecol
duro,CHEMBL1201317,fosfonato
duro,CHEMBL1201345,sulfonato
duro,CHEMBL1201348,fosfonato
duro,CHEMBL1201766,fosfonato
duro,CHEMBL1208,catecol
duro,CHEMBL1228,hidrazida
duro,CHEMBL1256841,hidrazida
duro,CHEMBL1303069,hidrazida+tiosemicarbazona
duro,CHEMBL1304194,hidrazida
duro,CHEMBL1310629,catecol
duro,CHEMBL1311703,catecol
duro,CHEMBL1324,catecol+o-aminofenol
duro,CHEMBL1343730,hidrazida+tiosemicarbazona
duro,CHEMBL1350,fosfonato
duro,CHEMBL1362943,hidrazida
duro,CHEMBL1383511,tiol
duro,CHEMBL1391531,catecol
duro,CHEMBL1401346,tiol
duro,CHEMBL1406300,tiol
duro,CHEMBL1409776,tiol
duro,CHEMBL1418679,catecol
duro,CHEMBL14370,catecol
duro,CHEMBL1437579,tiol
duro,CHEMBL1452696,hidrazida
duro,CHEMBL1457,catecol
duro,CHEMBL1457583,catecol+pirogalol
duro,CHEMBL1462043,tiol
duro,CHEMBL1470097,hidrazida
duro,CHEMBL1485521,catecol
duro,CHEMBL1486005,catecol
duro,CHEMBL1501518,tiol
duro,CHEMBL1507664,tiol
duro,CHEMBL152,fosfonato
duro,CHEMBL1524140,hidrazida
duro,CHEMBL1530615,catecol
duro,CHEMBL1536068,tiol
duro,CHEMBL1540430,tiol
duro,CHEMBL1540525,hidrazida+tiosemicarbazona
duro,CHEMBL1547534,tiol
duro,CHEMBL1551968,catecol
duro,CHEMBL1563897,tiol
duro,CHEMBL1570373,catecol
duro,CHEMBL1578770,tiol
duro,CHEMBL1595,catecol
duro,CHEMBL1597201,catecol
duro,CHEMBL1597289,catecol
duro,CHEMBL1601733,catecol
duro,CHEMBL1602108,catecol
duro,CHEMBL1689063,sulfonato
duro,CHEMBL1728200,tiol
duro,CHEMBL1865134,sulfonato
duro,CHEMBL1872278,catecol
duro,CHEMBL1877893,catecol
duro,CHEMBL19130,catecol
duro,CHEMBL19179,hidroxamato
duro,CHEMBL1978331,catecol
duro,CHEMBL1983350,catecol
duro,CHEMBL20160,hidroxamato
duro,CHEMBL20287,hidroxamato
duro,CHEMBL203266,catecol+pirogalol
duro,CHEMBL2103827,catecol
duro,CHEMBL2105345,catecol
duro,CHEMBL2110978,sulfonato
duro,CHEMBL22,catecol+pirogalol
duro,CHEMBL23647,hidrazida
duro,CHEMBL25014,catecol
duro,CHEMBL252556,quinona+catecol-en-ona
duro,CHEMBL26518,hidroxamato
duro,CHEMBL27556,hidroxamato
duro,CHEMBL28280,hidroxamato
duro,CHEMBL294199,catecol
duro,CHEMBL295124,catecol
duro,CHEMBL306700,catecol
duro,CHEMBL311498,catecol
duro,CHEMBL3137326,catecol
duro,CHEMBL313972,catecol
duro,CHEMBL319144,fosfonato
duro,CHEMBL329522,catecol+pirogalol
duro,CHEMBL3309763,catecol+hidroxamato
duro,CHEMBL3309985,catecol
duro,CHEMBL3309988,catecol
duro,CHEMBL3309993,catecol
duro,CHEMBL3310302,hidrazida
duro,CHEMBL3310377,hidrazida
duro,CHEMBL3311423,catecol
duro,CHEMBL3774966,tiol
duro,CHEMBL398707,catecol
duro,CHEMBL408513,hidroxamato
duro,CHEMBL427216,hidrazida
duro,CHEMBL4298137,sulfonato
duro,CHEMBL434,catecol
duro,CHEMBL4543361,catecol
duro,CHEMBL4594379,catecol+fosfonato
duro,CHEMBL461522,sulfonato
duro,CHEMBL4802240,catecol+fosfonato
duro,CHEMBL485,catecol
duro,CHEMBL490,catecol
duro,CHEMBL503634,catecol+pirogalol
duro,CHEMBL53,catecol
duro,CHEMBL546,catecol
duro,CHEMBL588,catecol
duro,CHEMBL656,catecol
duro,CHEMBL659,catecol
duro,CHEMBL677,catecol
duro,CHEMBL679,catecol
duro,CHEMBL70,catecol
duro,CHEMBL7334,catecol
duro,CHEMBL7790,catecol
duro,CHEMBL7855,catecol
duro,CHEMBL80,catecol
duro,CHEMBL817,hidrazida
duro,CHEMBL834,fosfonato
duro,CHEMBL8488,sulfonato
duro,CHEMBL849,catecol
duro,CHEMBL870,fosfonato
duro,CHEMBL871,fosfonato
duro,CHEMBL8960,catecol
duro,CHEMBL923,fosfonato
duro,CHEMBL924,fosfonato
duro,CHEMBL926,catecol
duro,CHEMBL93,hidroxamato
duro,CHEMBL94394,hidroxamato
duro,CHEMBL953,catecol+o-aminofenol
duro,CHEMBL963,catecol
duro,CHEMBL98,hidroxamato
duro,CHEMBL980,catecol
duro,CHEMBL997,fosfonato
