ligand,rol,affinity
"DEC_1,4-BIS(3'-PYRAZOLYLAMINO)BENZO[G]PHTHALAZINE",decoy,-6.516
DEC_5-HYDROXYFLAVONE,decoy,-5.964
DEC_Alpha-Lipoic_Acid,decoy,-4.045
DEC_Apigenin,decoy,-5.791
DEC_Arimoclomol,decoy,-5.026
DEC_Baclofen,decoy,-5.161
DEC_Baicalein,decoy,-5.899
DEC_CAPTOPRIL,decoy,-4.508
DEC_CHEMBL1091583,decoy,-4.977
DEC_CHEMBL1091584,decoy,-5.184
DEC_CHEMBL1092384,decoy,-5.242
DEC_CHEMBL1092602,decoy,-5.136
DEC_CHEMBL1092603,decoy,-5.361
DEC_CHEMBL1092604,decoy,-5.474
DEC_CHEMBL1210791,decoy,-5.232
DEC_CHEMBL124937,decoy,-6.577
DEC_CHEMBL1256364,decoy,-4.846
DEC_CHEMBL1304181,decoy,-5.911
DEC_CHEMBL1309718,decoy,-5.848
DEC_CHEMBL1315185,decoy,-6.137
DEC_CHEMBL1321608,decoy,-5.992
DEC_CHEMBL1322610,decoy,-5.172
DEC_CHEMBL1327582,decoy,-6.683
DEC_CHEMBL1330118,decoy,-6.218
DEC_CHEMBL1332994,decoy,-5.514
DEC_CHEMBL1334295,decoy,-4.814
DEC_CHEMBL1343668,decoy,-5.599
DEC_CHEMBL1343679,decoy,-5.068
DEC_CHEMBL1343719,decoy,-5.245
DEC_CHEMBL1344270,decoy,-4.606
DEC_CHEMBL1346563,decoy,-5.462
DEC_CHEMBL1354314,decoy,-5.619
DEC_CHEMBL1372889,decoy,-5.013
DEC_CHEMBL1373390,decoy,-5.715
DEC_CHEMBL1373755,decoy,-4.894
DEC_CHEMBL1373785,decoy,-5.264
DEC_CHEMBL1374893,decoy,-5.657
DEC_CHEMBL1383019,decoy,-6.205
DEC_CHEMBL1389758,decoy,-5.171
DEC_CHEMBL1390550,decoy,-6.085
DEC_CHEMBL1390652,decoy,-4.989
DEC_CHEMBL1391531,decoy,-5.458
DEC_CHEMBL1395044,decoy,-5.316
DEC_CHEMBL1395067,decoy,-6.624
DEC_CHEMBL1398411,decoy,-6.376
DEC_CHEMBL1401914,decoy,-4.55
DEC_CHEMBL1402270,decoy,-5.217
DEC_CHEMBL1402356,decoy,-5.918
DEC_CHEMBL1409776,decoy,-5.006
DEC_CHEMBL1413075,decoy,-5.094
DEC_CHEMBL1413381,decoy,-5.042
DEC_CHEMBL1414576,decoy,-4.527
DEC_CHEMBL1429038,decoy,-5.831
DEC_CHEMBL1429107,decoy,-5.299
DEC_CHEMBL1429852,decoy,-4.786
DEC_CHEMBL1429958,decoy,-4.869
DEC_CHEMBL1430765,decoy,-5.52
DEC_CHEMBL1431783,decoy,-5.986
DEC_CHEMBL1435511,decoy,-5.397
DEC_CHEMBL1437517,decoy,-6.57
DEC_CHEMBL1437579,decoy,-5.541
DEC_CHEMBL1440455,decoy,-5.031
DEC_CHEMBL1441905,decoy,-5.269
DEC_CHEMBL1443628,decoy,-5.081
DEC_CHEMBL1446677,decoy,-4.944
DEC_CHEMBL1452318,decoy,-5.893
DEC_CHEMBL1461506,decoy,-5.847
DEC_CHEMBL1461527,decoy,-4.666
DEC_CHEMBL1462643,decoy,-5.52
DEC_CHEMBL1468148,decoy,-5.368
DEC_CHEMBL1468265,decoy,-4.953
DEC_CHEMBL1470097,decoy,-5.411
DEC_CHEMBL1470785,decoy,-4.961
DEC_CHEMBL1470903,decoy,-6.203
DEC_CHEMBL1472702,decoy,-6.677
DEC_CHEMBL1474627,decoy,-5.618
DEC_CHEMBL1475748,decoy,-6.41
DEC_CHEMBL1476483,decoy,-5.923
DEC_CHEMBL1476890,decoy,-5.583
DEC_CHEMBL1486005,decoy,-5.616
DEC_CHEMBL1486052,decoy,-5.087
DEC_CHEMBL1491587,decoy,-6.525
DEC_CHEMBL1491654,decoy,-6.861
DEC_CHEMBL1491689,decoy,-5.114
DEC_CHEMBL1501518,decoy,-4.303
DEC_CHEMBL1502123,decoy,-5.467
DEC_CHEMBL1502132,decoy,-5.808
DEC_CHEMBL1509423,decoy,-5.33
DEC_CHEMBL1510247,decoy,-5.754
DEC_CHEMBL1524161,decoy,-4.641
DEC_CHEMBL1524176,decoy,-5.415
DEC_CHEMBL1527656,decoy,-4.976
DEC_CHEMBL1528023,decoy,-6.535
