ligando,fichero,afinidad,pesados,quimia_murcko,residuo_sin_tamano,puesto_frente_a_los_tres_fondos,n_fondo,cuantil
isoproterenol,ACT_isoproterenol,-4.636,15,c1ccccc1,0.166,405,482,83.9
adrenalina,ACT_adrenalina,-4.555,13,c1ccccc1,0.033,413,482,85.5
dopamina,ACT_dopamina,-4.553,11,c1ccccc1,-0.179,413,482,85.5
5-fluorouridina,ACT_5-fluorouridina,-4.85,18,O=c1ccn(C2CCCO2)c(=O)[nH]1,0.273,361,482,74.7
quinazolina_12I,ACT_quinazolina_12I,-4.961,17,c1ccc2c(N3CCNCC3)ncnc2c1,0.055,342,482,70.8
diazepanoquinazolina_4MQ,ACT_diazepanoquinazolina_4MQ,-4.812,18,c1ccc2c(N3CCCNCC3)ncnc2c1,0.311,372,482,77.0
cf3quinazolina_ZO0,ACT_cf3quinazolina_ZO0,-5.533,22,c1ccc2c(N3CCCNCC3)ncnc2c1,0.018,171,482,35.4
anilina_ZZT,ACT_anilina_ZZT,-4.279,10,c1ccccc1,-0.012,449,482,93.0
paliperidona_K4I,ACT_paliperidona_K4I,-6.727,31,O=c1c(CCN2CCC(c3noc4ccccc34)CC2)cnc2n1CCCC2,-0.213,12,482,2.5
Lig9_6B3,ACT_Lig9_6B3,-6.334,33,O=C(Nc1ccc2c(c1)[nH]c(=O)c1ccccc12)c1ccccc1-c1ccccc1,0.394,37,482,7.7
naftalenoaminoalcohol_946,ACT_naftalenoaminoalcohol_946,-6.846,23,c1ccc(CCNCc2ccc3ccccc3c2)cc1,-1.188,10,482,2.1
LCS-1,ACT_LCS-1,-4.94,16,O=c1cccnn1-c1ccccc1,-0.031,348,482,72.0
PRG-A01,ACT_PRG-A01,-7.21,31,O=C(C=Cc1ccccc1)OC1COc2cc3oc(=O)ccc3cc2C1,-0.696,3,482,0.6
CHEMBL2165613,ACT_CHEMBL2165613,-6.449,20,O=c1cc(COc2cccc(-c3ccccc3)c2)[nH][nH]1,-1.112,26,482,5.4
