ligand,rol,affinity
DEC_CHEMBL1708773,decoy,-9.521
DEC_CHEMBL1512999,decoy,-6.956
DEC_CHEMBL1592725,decoy,-6.576
DEC_CHEMBL1731619,decoy,-6.559
DEC_CHEMBL1445418,decoy,-6.492
ACT_nTRD22,activo,-6.428
DEC_CHEMBL1502206,decoy,-6.336
ACT_bis-ANS,activo,-6.309
DEC_CHEMBL1877893,decoy,-6.288
DEC_CHEMBL1480241,decoy,-6.213
DEC_CHEMBL3199468,decoy,-6.044
DEC_CHEMBL3194693,decoy,-6.035
DEC_CHEMBL1728296,decoy,-5.947
DEC_CHEMBL1480203,decoy,-5.944
DEC_CHEMBL1540525,decoy,-5.928
DEC_CHEMBL2360605,decoy,-5.923
DEC_CHEMBL1710828,decoy,-5.912
DEC_CHEMBL1896436,decoy,-5.889
DEC_CHEMBL1597290,decoy,-5.866
DEC_CHEMBL1493271,decoy,-5.858
DEC_CHEMBL1900571,decoy,-5.782
DEC_CHEMBL1315195,decoy,-5.665
DEC_CHEMBL1429889,decoy,-5.647
DEC_CHEMBL1433501,decoy,-5.638
DEC_CHEMBL1343730,decoy,-5.6
DEC_CHEMBL1429030,decoy,-5.598
DEC_CHEMBL1519972,decoy,-5.598
DEC_Rosiglitazone,decoy,-5.582
DEC_CHEMBL1391481,decoy,-5.56
DEC_CHEMBL1412521,decoy,-5.556
ACT_rTRD01,activo,-5.54
DEC_CHEMBL1473577,decoy,-5.536
DEC_CHEMBL1898515,decoy,-5.497
DEC_CHEMBL1896432,decoy,-5.489
DEC_CHEMBL1412569,decoy,-5.442
DEC_CHEMBL1590863,decoy,-5.437
DEC_CHEMBL1344822,decoy,-5.431
DEC_CHEMBL1378243,decoy,-5.399
DEC_CHEMBL1383471,decoy,-5.398
DEC_CHEMBL1731792,decoy,-5.342
DEC_CHEMBL1728239,decoy,-5.324
DEC_CHEMBL1875929,decoy,-5.323
DEC_CHEMBL1304194,decoy,-5.309
DEC_CHEMBL1366684,decoy,-5.304
DEC_CHEMBL1436514,decoy,-5.294
DEC_CHEMBL1602573,decoy,-5.284
DEC_CHEMBL1584431,decoy,-5.213
DEC_CHEMBL2165607,decoy,-5.188
DEC_CHEMBL1092602,decoy,-5.118
DEC_CHEMBL1733947,decoy,-5.061
DEC_CHEMBL1470866,decoy,-5.034
DEC_CHEMBL2165606,decoy,-5.024
DEC_CHEMBL1470785,decoy,-4.997
DEC_CHEMBL1879718,decoy,-4.997
DEC_CHEMBL1355280,decoy,-4.986
DEC_CHEMBL1453506,decoy,-4.959
DEC_CHEMBL1092384,decoy,-4.926
DEC_CHEMBL1545959,decoy,-4.887
DEC_CHEMBL1349802,decoy,-4.864
DEC_CHEMBL1401914,decoy,-4.827
DEC_CHEMBL2165610,decoy,-4.791
DEC_CHEMBL2165605,decoy,-4.776
DEC_Melatonin,decoy,-4.763
DEC_CHEMBL1091583,decoy,-4.746
DEC_CHEMBL1601845,decoy,-4.744
DEC_CHEMBL2136341,decoy,-4.645
DEC_CHEMBL1586259,decoy,-4.634
DEC_CHEMBL1413880,decoy,-4.626
DEC_CHEMBL3189534,decoy,-4.607
DEC_CHEMBL1327190,decoy,-4.578
DEC_CHEMBL2134794,decoy,-4.507
ACT_5FUrd,activo,-4.498
DEC_Baclofen,decoy,-4.43
DEC_Amlodipine,decoy,-4.078
ACT_isoproterenol,activo,-4.074
DEC_CHEMBL1879543,decoy,-4.049
DEC_Pramipexole,decoy,-3.93
DEC_CAPTOPRIL,decoy,-3.641
