ligand,rol,affinity
DEC_CHEMBL4568397,decoy,-10.979
DEC_CHEMBL4533320,decoy,-9.62
DEC_CHEMBL519226,decoy,-7.449
DEC_CHEMBL4570029,decoy,-7.36
DEC_CHEMBL1866100,decoy,-7.197
DEC_CHEMBL607364,decoy,-7.108
DEC_CHEMBL517859,decoy,-7.03
DEC_CHEMBL497782,decoy,-6.991
DEC_CHEMBL565402,decoy,-6.932
DEC_CHEMBL4534366,decoy,-6.919
DEC_CHEMBL4570759,decoy,-6.898
DEC_CHEMBL561942,decoy,-6.831
DEC_CHEMBL520894,decoy,-6.792
DEC_CHEMBL521491,decoy,-6.513
DEC_CHEMBL1453506,decoy,-6.511
DEC_CHEMBL561994,decoy,-6.308
DEC_CHEMBL562583,decoy,-6.181
DEC_CHEMBL570050,decoy,-6.12
DEC_CHEMBL4565232,decoy,-6.118
ACT_rTRD01,activo,-6.086
DEC_CHEMBL512809,decoy,-6.075
DEC_CHEMBL511186,decoy,-6.044
DEC_CHEMBL498925,decoy,-5.837
DEC_CHEMBL515192,decoy,-5.738
DEC_CHEMBL4534312,decoy,-5.72
DEC_CHEMBL1865782,decoy,-5.713
DEC_CHEMBL516168,decoy,-5.694
DEC_CHEMBL4638066,decoy,-5.608
DEC_CHEMBL1206472,decoy,-5.317
DEC_CHEMBL4574213,decoy,-5.205
DEC_CHEMBL1865375,decoy,-5.051
DEC_CHEMBL565167,decoy,-4.882
DEC_FORODESINE,decoy,-4.857
DEC_DEXRAZOXANE,decoy,-4.749
ACT_5FUrd,activo,-4.74
DEC_CHEMBL4573679,decoy,-4.721
DEC_DYPHYLLINE,decoy,-4.667
DEC_CHEMBL565199,decoy,-4.623
DEC_CHEMBL512479,decoy,-4.403
DEC_CHEMBL498968,decoy,-4.167
DEC_CHEMBL1207988,decoy,-3.857
DEC_CHEMBL4530265,decoy,-3.849
