ligand,rol,affinity
DEC_CHEMBL4650215,decoy,-9.91
DEC_CHEMBL3309843,decoy,-8.807
DEC_CHEMBL1708773,decoy,-8.666
DEC_CHEMBL23,decoy,-8.655
DEC_CHEMBL515606,decoy,-8.373
DEC_CHEMBL765,decoy,-7.955
DEC_CHEMBL3309846,decoy,-7.95
DEC_CHEMBL4559959,decoy,-7.878
DEC_CHEMBL3309847,decoy,-7.633
DEC_CHEMBL3309682,decoy,-7.505
DEC_CHEMBL4434740,decoy,-7.505
DEC_CHEMBL3310732,decoy,-7.415
DEC_CHEMBL503289,decoy,-7.353
DEC_CHEMBL3310733,decoy,-7.35
DEC_CHEMBL24524,decoy,-7.227
DEC_CHEMBL3309844,decoy,-7.219
DEC_CHEMBL25368,decoy,-7.138
DEC_CHEMBL26908,decoy,-7.122
DEC_CHEMBL4434697,decoy,-7.005
DEC_CHEMBL3309845,decoy,-6.957
DEC_CHEMBL20430,decoy,-6.948
DEC_CHEMBL345524,decoy,-6.902
DEC_CHEMBL1731619,decoy,-6.896
DEC_CHEMBL434394,decoy,-6.83
DEC_CHEMBL25065,decoy,-6.807
DEC_CHEMBL4543302,decoy,-6.801
DEC_CHEMBL22822,decoy,-6.793
DEC_CHEMBL23998,decoy,-6.738
DEC_CHEMBL22221,decoy,-6.706
DEC_CHEMBL3989871,decoy,-6.681
DEC_CHEMBL206253,decoy,-6.593
DEC_CHEMBL4435839,decoy,-6.461
DEC_CHEMBL27208,decoy,-6.399
DEC_CHEMBL24566,decoy,-6.387
DEC_CHEMBL1502206,decoy,-6.374
DEC_CHEMBL28282,decoy,-6.368
DEC_CHEMBL1078178,decoy,-6.34
DEC_CHEMBL4435512,decoy,-6.31
DEC_CHEMBL17139,decoy,-6.288
DEC_CHEMBL23869,decoy,-6.279
DEC_CHEMBL4435968,decoy,-6.275
DEC_CHEMBL1592725,decoy,-6.274
DEC_CHEMBL3948730,decoy,-6.244
DEC_CHEMBL21267,decoy,-6.236
DEC_CHEMBL1493271,decoy,-6.235
DEC_CHEMBL3194693,decoy,-6.212
DEC_CHEMBL361812,decoy,-6.205
DEC_CHEMBL1896432,decoy,-6.201
DEC_CHEMBL1229322,decoy,-6.162
DEC_CHEMBL1470866,decoy,-6.139
DEC_CHEMBL22522,decoy,-6.067
DEC_CHEMBL1445418,decoy,-6.054
ACT_bis-ANS,activo,-6.025
DEC_CHEMBL27463,decoy,-6.002
ACT_nTRD22,activo,-5.997
DEC_CHEMBL1366684,decoy,-5.984
DEC_CHEMBL1480203,decoy,-5.93
DEC_CHEMBL1540525,decoy,-5.922
DEC_CHEMBL1343730,decoy,-5.912
DEC_CHEMBL1896436,decoy,-5.908
DEC_CHEMBL1213497,decoy,-5.905
DEC_CHEMBL1877893,decoy,-5.896
DEC_CHEMBL1315195,decoy,-5.861
DEC_CHEMBL4435302,decoy,-5.851
DEC_ETOPOSIDE_PHOSPHATE,decoy,-5.84
DEC_CHEMBL1597290,decoy,-5.839
DEC_CHEMBL1480241,decoy,-5.83
DEC_CHEMBL2360605,decoy,-5.816
DEC_CHEMBL3199468,decoy,-5.798
DEC_CHEMBL1900571,decoy,-5.763
DEC_CHEMBL1433501,decoy,-5.76
DEC_CHEMBL1412521,decoy,-5.746
DEC_CHEMBL16243,decoy,-5.745
DEC_CHEMBL1344822,decoy,-5.728
DEC_CHEMBL1584431,decoy,-5.724
DEC_CHEMBL1213498,decoy,-5.696
DEC_CHEMBL1728296,decoy,-5.695
DEC_CHEMBL8585,decoy,-5.69
DEC_CHEMBL1436514,decoy,-5.687
DEC_CHEMBL1065,decoy,-5.637
DEC_CHEMBL4553132,decoy,-5.631
DEC_CHEMBL1201356,decoy,-5.619
DEC_CHEMBL1429030,decoy,-5.586
DEC_CHEMBL1429889,decoy,-5.578
DEC_CHEMBL607364,decoy,-5.567
DEC_CHEMBL1391481,decoy,-5.563
DEC_CHEMBL1412569,decoy,-5.502
DEC_CHEMBL1278,decoy,-5.478
DEC_CHEMBL503828,decoy,-5.458
DEC_CHEMBL1731792,decoy,-5.446
DEC_CHEMBL1443,decoy,-5.44
DEC_CHEMBL1473577,decoy,-5.439
DEC_Rosiglitazone,decoy,-5.428
DEC_CHEMBL652,decoy,-5.411
ACT_rTRD01,activo,-5.384
DEC_CHEMBL429910,decoy,-5.377
DEC_CHEMBL1383471,decoy,-5.361
DEC_CHEMBL1602573,decoy,-5.357
DEC_CHEMBL1092602,decoy,-5.325
DEC_CHEMBL24194,decoy,-5.32
DEC_CHEMBL29,decoy,-5.317
DEC_CHEMBL1229317,decoy,-5.304
DEC_CHEMBL1874750,decoy,-5.298
DEC_CHEMBL1013,decoy,-5.269
DEC_CHEMBL1590863,decoy,-5.264
DEC_CHEMBL1304194,decoy,-5.257
DEC_CHEMBL2165607,decoy,-5.218
DEC_CHEMBL4435195,decoy,-5.215
DEC_CHEMBL1519972,decoy,-5.191
DEC_CHEMBL1733947,decoy,-5.165
DEC_CHEMBL1413880,decoy,-5.157
DEC_CHEMBL8603,decoy,-5.153
DEC_CHEMBL1168,decoy,-5.143
DEC_CHEMBL1728239,decoy,-5.141
DEC_CHEMBL1148,decoy,-5.13
DEC_CHEMBL1875929,decoy,-5.116
DEC_CHEMBL499915,decoy,-5.112
DEC_CHEMBL2165606,decoy,-5.094
DEC_CHEMBL1512999,decoy,-5.085
DEC_CHEMBL218291,decoy,-5.079
DEC_CHEMBL170988,decoy,-5.074
DEC_CHEMBL1898515,decoy,-5.03
DEC_CHEMBL1378243,decoy,-5.021
DEC_CHEMBL1879718,decoy,-5.005
DEC_CHEMBL1505,decoy,-4.986
DEC_CHEMBL1470785,decoy,-4.962
DEC_CHEMBL1545959,decoy,-4.953
DEC_CHEMBL1710828,decoy,-4.943
DEC_CHEMBL1199307,decoy,-4.933
DEC_CHEMBL1092384,decoy,-4.885
DEC_CHEMBL1079604,decoy,-4.853
DEC_CHEMBL615,decoy,-4.832
DEC_CHEMBL1453506,decoy,-4.831
DEC_CHEMBL1401914,decoy,-4.809
DEC_CHEMBL1355280,decoy,-4.804
DEC_CHEMBL126,decoy,-4.801
DEC_CHEMBL561,decoy,-4.788
DEC_CHEMBL2165610,decoy,-4.786
DEC_CHEMBL1091583,decoy,-4.778
DEC_CHEMBL26,decoy,-4.776
DEC_CHEMBL2136341,decoy,-4.733
DEC_CHEMBL2165605,decoy,-4.728
DEC_CHEMBL1201348,decoy,-4.726
DEC_CHEMBL1601845,decoy,-4.707
DEC_CHEMBL1201352,decoy,-4.704
DEC_CHEMBL638,decoy,-4.692
DEC_CHEMBL54976,decoy,-4.638
DEC_CHEMBL1586259,decoy,-4.62
DEC_CHEMBL3189534,decoy,-4.593
DEC_Melatonin,decoy,-4.58
DEC_CHEMBL2103877,decoy,-4.576
DEC_CHEMBL94394,decoy,-4.572
DEC_CHEMBL459,decoy,-4.529
ACT_5FUrd,activo,-4.528
DEC_CHEMBL1321,decoy,-4.528
DEC_CHEMBL1327190,decoy,-4.526
DEC_Baclofen,decoy,-4.519
DEC_CHEMBL1200937,decoy,-4.505
DEC_CHEMBL1095,decoy,-4.504
DEC_CHEMBL1349802,decoy,-4.504
DEC_CHEMBL3400972,decoy,-4.488
DEC_CHEMBL3547132,decoy,-4.466
DEC_CHEMBL2105420,decoy,-4.463
DEC_CHEMBL1037,decoy,-4.454
DEC_CHEMBL861,decoy,-4.45
DEC_CHEMBL1428,decoy,-4.425
DEC_CHEMBL2134794,decoy,-4.4
DEC_CHEMBL1738,decoy,-4.325
DEC_CHEMBL3716057,decoy,-4.314
DEC_CHEMBL1102,decoy,-4.291
DEC_CHEMBL1697856,decoy,-4.276
DEC_CHEMBL454,decoy,-4.252
DEC_CHEMBL856,decoy,-4.251
ACT_isoproterenol,activo,-4.21
DEC_CHEMBL18116,decoy,-4.172
DEC_CHEMBL750,decoy,-4.169
DEC_CHEMBL701,decoy,-4.139
DEC_CHEMBL193,decoy,-4.072
DEC_Amlodipine,decoy,-4.013
DEC_CHEMBL1491,decoy,-4.006
DEC_CHEMBL301265,decoy,-3.982
DEC_CHEMBL278020,decoy,-3.945
DEC_CHEMBL449,decoy,-3.935
DEC_CHEMBL1879543,decoy,-3.916
DEC_Pramipexole,decoy,-3.894
DEC_CHEMBL1752,decoy,-3.874
DEC_CHEMBL2111097,decoy,-3.87
DEC_CHEMBL7863,decoy,-3.864
DEC_CHEMBL550,decoy,-3.829
DEC_CHEMBL607400,decoy,-3.731
DEC_CAPTOPRIL,decoy,-3.659
DEC_CHEMBL524,decoy,-3.621
DEC_CHEMBL1515611,decoy,-3.543
DEC_CHEMBL1560,decoy,-3.499
DEC_CHEMBL1449676,decoy,-3.399
DEC_CHEMBL979,decoy,-3.328
DEC_CHEMBL684,decoy,-3.25
DEC_CHEMBL513,decoy,-3.1
