ligand,rol,affinity
DEC_CHEMBL8960,decoy,-12.76
DEC_CHEMBL580,decoy,-12.593
DEC_CHEMBL1173055,decoy,-12.499
DEC_CHEMBL1697737,decoy,-11.342
DEC_CHEMBL2356527,decoy,-11.272
DEC_CHEMBL538188,decoy,-10.483
DEC_CHEMBL1163540,decoy,-9.508
DEC_CHEMBL11782,decoy,-9.176
DEC_CHEMBL2360863,decoy,-9.125
DEC_CHEMBL12212,decoy,-8.982
DEC_CHEMBL9112,decoy,-8.837
DEC_CHEMBL10923,decoy,-8.616
DEC_CHEMBL1162123,decoy,-8.608
DEC_CHEMBL11796,decoy,-8.605
DEC_CHEMBL1289494,decoy,-8.605
DEC_CHEMBL20549,decoy,-8.594
DEC_CHEMBL831,decoy,-8.399
DEC_CHEMBL11014,decoy,-8.393
DEC_CHEMBL24973,decoy,-8.39
DEC_CHEMBL4435985,decoy,-8.326
DEC_CHEMBL1900316,decoy,-8.203
DEC_CHEMBL27843,decoy,-8.187
DEC_CHEMBL3309985,decoy,-8.12
DEC_CHEMBL17479,decoy,-8.097
ACT_berberrubine,activo,-8.061
DEC_CHEMBL1429984,decoy,-8.052
DEC_CHEMBL11010,decoy,-8.029
DEC_CHEMBL3309778,decoy,-7.992
ACT_PE859,activo,-7.959
DEC_CHEMBL16303,decoy,-7.933
DEC_CHEMBL63857,decoy,-7.906
DEC_CHEMBL20297,decoy,-7.893
DEC_CHEMBL1094636,decoy,-7.836
DEC_CHEMBL582415,decoy,-7.801
DEC_CHEMBL17272,decoy,-7.773
DEC_CHEMBL22561,decoy,-7.737
DEC_CHEMBL2165609,decoy,-7.597
DEC_CHEMBL13309,decoy,-7.593
DEC_CHEMBL20837,decoy,-7.536
DEC_CHEMBL1540525,decoy,-7.496
DEC_CHEMBL11263,decoy,-7.469
DEC_CHEMBL4434945,decoy,-7.445
DEC_CHEMBL1434388,decoy,-7.425
DEC_CHEMBL1274,decoy,-7.373
DEC_CHEMBL3137308,decoy,-7.276
DEC_CHEMBL1272,decoy,-7.254
DEC_CHEMBL42,decoy,-7.119
DEC_CHEMBL30574,decoy,-7.084
DEC_CHEMBL10349,decoy,-7.064
DEC_CHEMBL9553,decoy,-6.961
DEC_CHEMBL245807,decoy,-6.885
DEC_CHEMBL8825,decoy,-6.86
DEC_CHEMBL1201294,decoy,-6.717
DEC_CHEMBL33986,decoy,-6.668
DEC_CHEMBL28003,decoy,-6.31
DEC_CHEMBL2359981,decoy,-6.189
DEC_CHEMBL1771,decoy,-5.91
DEC_CHEMBL1391380,decoy,-5.845
