ligand,rol,energy,heavy_atoms,e_per_atom
berberine,activo,-7.048,75,-0.094
berberrubine,activo,-7.739,75,-0.1032
cepharanthine,activo,-10.725,141,-0.0761
coptisine,activo,-8.231,72,-0.1143
epiberberine,activo,-7.0,75,-0.0933
ketoconazole,activo,-7.849,108,-0.0727
nitidine,activo,-6.73,78,-0.0863
PE859,activo,-7.602,108,-0.0704
sanguinarine,activo,-8.406,75,-0.1121
CHEMBL10183,decoy,-6.634,141,-0.047
CHEMBL1057,decoy,-7.21,81,-0.089
CHEMBL1090397,decoy,-7.408,78,-0.095
CHEMBL10923,decoy,-8.063,102,-0.079
CHEMBL1094636,decoy,-7.841,81,-0.0968
CHEMBL11010,decoy,-7.997,105,-0.0762
CHEMBL11014,decoy,-7.593,108,-0.0703
CHEMBL1113,decoy,-7.038,69,-0.102
CHEMBL1162123,decoy,-7.239,78,-0.0928
CHEMBL1163540,decoy,-9.016,78,-0.1156
CHEMBL1164909,decoy,-6.873,129,-0.0533
CHEMBL1173055,decoy,-12.473,87,-0.1434
CHEMBL11796,decoy,-8.128,108,-0.0753
CHEMBL1200585,decoy,-7.307,78,-0.0937
CHEMBL1200907,decoy,-7.504,78,-0.0962
CHEMBL1201244,decoy,-7.654,117,-0.0654
CHEMBL1201294,decoy,-6.811,102,-0.0668
CHEMBL1213252,decoy,-12.106,78,-0.1552
CHEMBL1214124,decoy,-8.229,81,-0.1016
CHEMBL1214724,decoy,-7.31,81,-0.0902
CHEMBL12212,decoy,-8.734,108,-0.0809
CHEMBL1272,decoy,-6.234,105,-0.0594
CHEMBL1274,decoy,-7.168,69,-0.1039
CHEMBL1304194,decoy,-7.162,72,-0.0995
CHEMBL1309718,decoy,-8.079,81,-0.0997
CHEMBL1310614,decoy,-10.174,81,-0.1256
CHEMBL1314282,decoy,-7.98,114,-0.07
CHEMBL1322110,decoy,-6.993,60,-0.1166
CHEMBL1323007,decoy,-7.662,78,-0.0982
CHEMBL13280,decoy,-12.705,75,-0.1694
CHEMBL1330042,decoy,-7.467,63,-0.1185
CHEMBL1423734,decoy,-7.121,75,-0.0949
CHEMBL1429984,decoy,-6.9,93,-0.0742
CHEMBL1434388,decoy,-7.673,99,-0.0775
CHEMBL1435671,decoy,-11.525,81,-0.1423
CHEMBL1445,decoy,-6.787,78,-0.087
CHEMBL14666,decoy,-9.433,135,-0.0699
CHEMBL1466,decoy,-7.755,81,-0.0957
CHEMBL1471,decoy,-7.115,117,-0.0608
CHEMBL1480241,decoy,-6.281,72,-0.0872
CHEMBL16415,decoy,-7.282,72,-0.1011
CHEMBL1697737,decoy,-11.15,69,-0.1616
CHEMBL1708784,decoy,-5.066,60,-0.0844
CHEMBL17272,decoy,-6.419,102,-0.0629
CHEMBL1732294,decoy,-7.257,72,-0.1008
CHEMBL1733879,decoy,-6.924,60,-0.1154
CHEMBL1733891,decoy,-7.423,78,-0.0952
CHEMBL17479,decoy,-8.283,84,-0.0986
CHEMBL17519,decoy,-7.077,78,-0.0907
CHEMBL17590,decoy,-8.376,114,-0.0735
CHEMBL1771,decoy,-5.448,63,-0.0865
CHEMBL1900316,decoy,-7.614,105,-0.0725
CHEMBL19153,decoy,-7.958,75,-0.1061
CHEMBL20297,decoy,-7.342,72,-0.102
CHEMBL20549,decoy,-8.467,102,-0.083
CHEMBL2079587,decoy,-7.327,78,-0.0939
CHEMBL20834,decoy,-8.67,84,-0.1032
CHEMBL2105722,decoy,-8.341,75,-0.1112
CHEMBL2136283,decoy,-7.452,78,-0.0955
CHEMBL2165609,decoy,-7.867,72,-0.1093
CHEMBL2165611,decoy,-6.678,54,-0.1237
CHEMBL218650,decoy,-7.571,114,-0.0664
CHEMBL22097,decoy,-11.189,75,-0.1492
CHEMBL22434,decoy,-8.053,84,-0.0959
CHEMBL22561,decoy,-7.877,84,-0.0938
CHEMBL23220,decoy,-7.68,90,-0.0853
CHEMBL2356527,decoy,-10.935,78,-0.1402
CHEMBL23584,decoy,-8.834,87,-0.1015
CHEMBL2359981,decoy,-5.941,69,-0.0861
CHEMBL2360863,decoy,-8.321,99,-0.0841
CHEMBL245807,decoy,-7.102,81,-0.0877
CHEMBL24738,decoy,-8.241,84,-0.0981
CHEMBL24973,decoy,-8.062,96,-0.084
CHEMBL25353,decoy,-7.161,114,-0.0628
CHEMBL25585,decoy,-7.418,129,-0.0575
CHEMBL261102,decoy,-6.774,120,-0.0565
CHEMBL26485,decoy,-7.612,120,-0.0634
CHEMBL27158,decoy,-7.564,81,-0.0934
CHEMBL277062,decoy,-12.024,66,-0.1822
CHEMBL288441,decoy,-6.197,111,-0.0558
CHEMBL29606,decoy,-7.507,78,-0.0962
CHEMBL30574,decoy,-7.689,102,-0.0754
CHEMBL3193932,decoy,-6.398,75,-0.0853
CHEMBL3214262,decoy,-7.012,81,-0.0866
CHEMBL3309778,decoy,-8.0,99,-0.0808
CHEMBL3309781,decoy,-7.271,78,-0.0932
CHEMBL3309782,decoy,-7.195,78,-0.0922
CHEMBL3309985,decoy,-7.786,78,-0.0998
CHEMBL3309988,decoy,-8.059,81,-0.0995
CHEMBL3310187,decoy,-8.017,129,-0.0621
CHEMBL3310561,decoy,-8.116,75,-0.1082
CHEMBL3310562,decoy,-7.0,75,-0.0933
CHEMBL3311228,decoy,-7.664,114,-0.0672
CHEMBL3355357,decoy,-7.295,81,-0.0901
CHEMBL42,decoy,-8.242,72,-0.1145
CHEMBL4434945,decoy,-7.888,102,-0.0773
CHEMBL4435182,decoy,-8.391,135,-0.0622
CHEMBL4435844,decoy,-6.67,78,-0.0855
CHEMBL4435881,decoy,-6.879,78,-0.0882
CHEMBL4435888,decoy,-7.54,132,-0.0571
CHEMBL4436054,decoy,-9.116,135,-0.0675
CHEMBL4436055,decoy,-8.015,138,-0.0581
CHEMBL4436208,decoy,-7.441,126,-0.0591
CHEMBL452,decoy,-12.748,75,-0.17
CHEMBL4543361,decoy,-7.449,81,-0.092
CHEMBL4543422,decoy,-7.131,114,-0.0626
CHEMBL4559134,decoy,-7.554,120,-0.063
CHEMBL4582651,decoy,-8.051,126,-0.0639
CHEMBL500370,decoy,-7.758,141,-0.055
CHEMBL538188,decoy,-9.459,84,-0.1126
CHEMBL580,decoy,-12.294,75,-0.1639
CHEMBL582415,decoy,-7.96,111,-0.0717
CHEMBL607833,decoy,-13.628,162,-0.0841
CHEMBL611044,decoy,-7.008,123,-0.057
CHEMBL63857,decoy,-7.013,78,-0.0899
CHEMBL7340,decoy,-7.49,72,-0.104
CHEMBL7640,decoy,-7.781,72,-0.1081
CHEMBL8424,decoy,-7.353,87,-0.0845
CHEMBL8722,decoy,-6.732,78,-0.0863
CHEMBL8960,decoy,-13.492,84,-0.1606
CHEMBL9112,decoy,-8.137,72,-0.113
CHEMBL9553,decoy,-6.737,105,-0.0642
