ligand,papel,afinidad,pesados,puesto_fondo1,puesto_fondo2,puesto_fondo3,residual
RB_SM_0127,fondo2,-9.842,46,,1,,
RB_SM_0137,fondo2,-9.513,40,,2,,
DEC_CHEMBL14666,fondo,-9.433,44,1,,,
DEC_CHEMBL607833,fondo,-9.395,47,2,,,
RB_SM_0111,fondo2,-9.316,36,,3,,
RB_SM_0083,fondo2,-9.307,28,,4,,
DEC_CHEMBL4436054,fondo,-9.116,43,3,,,
DEC_CHEMBL1163540,fondo,-9.016,24,4,,,
RB_SM_0152,fondo2,-8.938,40,,5,,
DEC_CHEMBL23584,fondo,-8.834,25,5,,,
RB_SM_0031,fondo2,-8.802,32,,6,,
DEC_CHEMBL12212,fondo,-8.734,34,6,,,
DEC_CHEMBL20834,fondo,-8.67,26,7,,,
RB_SM_0001,fondo2,-8.658,29,,7,,
DEC_CHEMBL1173055,fondo,-8.585,24,8,,,
RB_SM_0149,fondo2,-8.551,27,,8,,
DEC_CHEMBL20549,fondo,-8.467,34,9,,,
RB_SM_0055A,fondo2,-8.443,23,,9,,
DEC_CHEMBL4435182,fondo,-8.391,43,10,,,
DEC_CHEMBL17590,fondo,-8.376,37,11,,,
RB_SM_0091,fondo2,-8.35,28,,10,,
RB_SM_0092,fondo2,-8.342,30,,11,,
DEC_CHEMBL2105722,fondo,-8.341,24,12,,,
DEC_CHEMBL2360863,fondo,-8.321,32,13,,,
DEC_CHEMBL10183,fondo,-8.319,43,14,,,
RB_SM_0096,fondo2,-8.298,33,,12,,
RB_SM_0030,fondo2,-8.289,30,,13,,
DEC_CHEMBL17479,fondo,-8.283,23,15,,,
RB_SM_0124,fondo2,-8.279,32,,14,,
RB_SM_0027A,fondo2,-8.265,28,,15,,
DEC_CHEMBL42,fondo,-8.242,23,16,,,
DEC_CHEMBL24738,fondo,-8.241,26,17,,,
DEC_CHEMBL1214124,fondo,-8.229,27,18,,,
RB_SM_0029,fondo2,-8.203,31,,16,,
RB_SM_0089,fondo2,-8.182,26,,17,,
RB_SM_0115,fondo2,-8.182,24,,18,,
RB_SM_0052,fondo2,-8.17,28,,19,,
RB_SM_0022A,fondo2,-8.16,28,,20,,
RB_SM_0023,fondo2,-8.16,36,,21,,
RB_SM_0119,fondo2,-8.155,21,,22,,
RB_SM_0126,fondo2,-8.138,38,,23,,
DEC_CHEMBL9112,fondo,-8.137,23,19,,,
DEC_CHEMBL11796,fondo,-8.128,34,20,,,
RB_SM_0082,fondo2,-8.127,28,,24,,
