posicion,ligand,target,mejor_energia_kcal_mol
1,CHEMBL6207,FUS,-8.20
2,CHEMBL25967,FUS,-8.10
3,CHEMBL26360,FUS,-8.10
4,CHEMBL29512,FUS,-8.10
5,CHEMBL592632,FUS,-8.10
6,CHEMBL504357,FUS,-8.00
7,CHEMBL26414,FUS,-8.00
8,CHEMBL4435351,FUS,-7.90
9,CHEMBL49725,FUS,-7.90
10,CHEMBL503046,FUS,-7.90
11,CHEMBL27657,FUS,-7.80
12,CHEMBL29731,FUS,-7.80
13,CHEMBL4436366,FUS,-7.80
14,CHEMBL1223980,FUS,-7.80
15,CHEMBL1223978,FUS,-7.72
16,14-BIS(3-PYRAZOLYLAMINO)BENZO[G]PHTHALAZINE,FUS,-7.70
17,CHEMBL1163325,FUS,-7.70
18,CHEMBL12645,FUS,-7.70
19,CHEMBL159567,FUS,-7.70
20,CHEMBL26958,FUS,-7.70
21,CHEMBL29879,FUS,-7.70
22,CHEMBL4300098,FUS,-7.70
23,CHEMBL4434852,FUS,-7.70
24,CHEMBL4435614,FUS,-7.70
25,CHEMBL443597,FUS,-7.70
26,CHEMBL4543505,FUS,-7.70
27,CHEMBL10183,FUS,-7.60
28,CHEMBL1076668,FUS,-7.60
29,CHEMBL1162097,FUS,-7.60
30,CHEMBL26541,FUS,-7.60
31,CHEMBL29368,FUS,-7.60
32,CHEMBL32764,FUS,-7.60
33,CHEMBL4559945,FUS,-7.60
34,CHEMBL6402,FUS,-7.60
35,CHEMBL1077107,FUS,-7.50
36,CHEMBL11725,FUS,-7.50
37,CHEMBL1187325,FUS,-7.50
38,CHEMBL26959,FUS,-7.50
39,CHEMBL32492,FUS,-7.50
40,CHEMBL32741,FUS,-7.50
41,CHEMBL3309682,FUS,-7.50
42,CHEMBL3310508,FUS,-7.50
43,CHEMBL3311016,FUS,-7.50
44,CHEMBL3311274,FUS,-7.50
45,CHEMBL4435001,FUS,-7.50
46,CHEMBL4435962,FUS,-7.50
47,CHEMBL45805,FUS,-7.50
48,CHEMBL499961,FUS,-7.50
49,CHEMBL501957,FUS,-7.50
50,CHEMBL501973,FUS,-7.50
51,CHEMBL56163,FUS,-7.50
52,CHEMBL1077333,FUS,-7.46
53,CHEMBL1224734,FUS,-7.44
54,CHEMBL1185343,FUS,-7.42
55,CHEMBL502239,FUS,-7.42
56,CHEMBL502652,FUS,-7.40
57,CHEMBL10456,FUS,-7.40
58,CHEMBL13317,FUS,-7.40
59,CHEMBL13411,FUS,-7.40
60,CHEMBL14887,FUS,-7.40
61,CHEMBL16671,FUS,-7.40
62,CHEMBL3309845,FUS,-7.40
63,CHEMBL3311015,FUS,-7.40
64,CHEMBL3311116,FUS,-7.40
65,CHEMBL3311125,FUS,-7.40
66,CHEMBL3311270,FUS,-7.40
67,CHEMBL3311454,FUS,-7.40
68,CHEMBL3314189,FUS,-7.40
69,CHEMBL33607,FUS,-7.40
70,CHEMBL42305,FUS,-7.40
71,CHEMBL4435159,FUS,-7.40
72,CHEMBL4435685,FUS,-7.40
73,CHEMBL4435783,FUS,-7.40
74,CHEMBL4553707,FUS,-7.40
75,CHEMBL4559959,FUS,-7.40
76,CHEMBL47376,FUS,-7.40
77,CHEMBL48876,FUS,-7.40
78,CHEMBL50724,FUS,-7.40
79,CHEMBL58116,FUS,-7.40
80,CHEMBL58215,FUS,-7.40
81,CHEMBL9532,FUS,-7.40
82,DELAFLOXACIN,FUS,-7.40
83,CHEMBL3309573,FUS,-7.39
84,CHEMBL506071,FUS,-7.36
85,CHEMBL11378,FUS,-7.30
86,CHEMBL1163216,FUS,-7.30
87,CHEMBL1185641,FUS,-7.30
88,CHEMBL12143,FUS,-7.30
89,CHEMBL13577,FUS,-7.30
90,CHEMBL13693,FUS,-7.30
91,CHEMBL17211,FUS,-7.30
92,CHEMBL17589,FUS,-7.30
93,CHEMBL20834,FUS,-7.30
94,CHEMBL24359,FUS,-7.30
95,CHEMBL27368,FUS,-7.30
96,CHEMBL27721,FUS,-7.30
97,CHEMBL27775,FUS,-7.30
98,CHEMBL3309838,FUS,-7.30
99,CHEMBL3311272,FUS,-7.30
100,CHEMBL3311273,FUS,-7.30
1,CHEMBL4559945,SOD1,-9.50
2,CHEMBL6207,SOD1,-9.20
3,CHEMBL414380,SOD1,-9.00
4,CHEMBL1187325,SOD1,-8.90
5,CHEMBL592632,SOD1,-8.70
6,CHEMBL6356,SOD1,-8.70
7,CHEMBL506077,SOD1,-8.60
8,CHEMBL1162097,SOD1,-8.50
9,CHEMBL1214058,SOD1,-8.50
10,CHEMBL3311118,SOD1,-8.50
11,CHEMBL503046,SOD1,-8.50
12,CHEMBL3311385,SOD1,-8.40
13,CHEMBL1076054,SOD1,-8.30
14,CHEMBL1162104,SOD1,-8.30
15,CHEMBL1163250,SOD1,-8.30
16,CHEMBL4116164,SOD1,-8.30
17,CHEMBL501280,SOD1,-8.30
18,CHEMBL501964,SOD1,-8.30
19,CHEMBL503252,SOD1,-8.30
20,CHEMBL1076214,SOD1,-8.20
21,CHEMBL499961,SOD1,-8.20
22,CHEMBL572199,SOD1,-8.20
23,CHEMBL3311449,SOD1,-8.10
24,CHEMBL501758,SOD1,-8.10
25,CHEMBL501973,SOD1,-8.10
26,CHEMBL503232,SOD1,-8.10
27,CHEMBL507897,SOD1,-8.10
28,CHEMBL262399,SOD1,-8.00
29,CHEMBL443597,SOD1,-8.00
30,CHEMBL445000,SOD1,-8.00
31,CHEMBL6354,SOD1,-8.00
32,CHEMBL1076027,SOD1,-7.90
33,CHEMBL1092041,SOD1,-7.90
34,CHEMBL1163204,SOD1,-7.90
35,CHEMBL1222580,SOD1,-7.90
36,CHEMBL13411,SOD1,-7.90
37,CHEMBL174668,SOD1,-7.90
38,CHEMBL4559936,SOD1,-7.90
39,CHEMBL499543,SOD1,-7.90
40,CHEMBL504398,SOD1,-7.90
41,CHEMBL505127,SOD1,-7.90
42,CHEMBL607833,SOD1,-7.90
43,CHEMBL7039,SOD1,-7.90
44,CHEMBL1076212,SOD1,-7.80
45,CHEMBL1163233,SOD1,-7.80
46,CHEMBL1163251,SOD1,-7.80
47,CHEMBL1185641,SOD1,-7.80
48,CHEMBL21562,SOD1,-7.80
49,CHEMBL3311127,SOD1,-7.80
50,CHEMBL3311276,SOD1,-7.80
51,CHEMBL4434852,SOD1,-7.80
52,CHEMBL499846,SOD1,-7.80
53,CHEMBL502653,SOD1,-7.80
54,CHEMBL503616,SOD1,-7.80
55,CHEMBL58428,SOD1,-7.80
56,CHEMBL7027,SOD1,-7.80
57,CHEMBL7924,SOD1,-7.80
58,CHEMBL1091345,SOD1,-7.70
59,CHEMBL1163060,SOD1,-7.70
60,CHEMBL1163203,SOD1,-7.70
61,CHEMBL1163227,SOD1,-7.70
62,CHEMBL1163235,SOD1,-7.70
63,CHEMBL164857,SOD1,-7.70
64,CHEMBL21197,SOD1,-7.70
65,CHEMBL3309685,SOD1,-7.70
66,CHEMBL3311015,SOD1,-7.70
67,CHEMBL3311111,SOD1,-7.70
68,CHEMBL412007,SOD1,-7.70
69,CHEMBL46263,SOD1,-7.70
70,CHEMBL501130,SOD1,-7.70
71,CHEMBL501687,SOD1,-7.70
72,CHEMBL501957,SOD1,-7.70
73,CHEMBL503028,SOD1,-7.70
74,CHEMBL503266,SOD1,-7.70
75,CHEMBL503289,SOD1,-7.70
76,CHEMBL51635,SOD1,-7.70
77,CHEMBL540214,SOD1,-7.70
78,CHEMBL564926,SOD1,-7.70
79,CHEMBL58116,SOD1,-7.70
80,CHEMBL592631,SOD1,-7.70
81,CHEMBL595083,SOD1,-7.70
82,CHEMBL6293,SOD1,-7.70
83,CHEMBL1075666,SOD1,-7.60
84,CHEMBL1076217,SOD1,-7.60
85,CHEMBL1082437,SOD1,-7.60
86,CHEMBL1095192,SOD1,-7.60
87,CHEMBL1159639,SOD1,-7.60
88,CHEMBL1159641,SOD1,-7.60
89,CHEMBL1163216,SOD1,-7.60
90,CHEMBL1184214,SOD1,-7.60
91,CHEMBL13347,SOD1,-7.60
92,CHEMBL158175,SOD1,-7.60
93,CHEMBL17626,SOD1,-7.60
94,CHEMBL20496,SOD1,-7.60
95,CHEMBL21250,SOD1,-7.60
96,CHEMBL3309306,SOD1,-7.60
97,CHEMBL3310337,SOD1,-7.60
98,CHEMBL3310693,SOD1,-7.60
99,CHEMBL3315375,SOD1,-7.60
100,CHEMBL438839,SOD1,-7.60
1,CHEMBL6356,TDP43,-8.60
2,CHEMBL4116075,TDP43,-8.42
3,CHEMBL1090649,TDP43,-8.30
4,CHEMBL14666,TDP43,-8.20
5,CHEMBL264478,TDP43,-8.10
6,CHEMBL3310690,TDP43,-8.10
7,CHEMBL499846,TDP43,-8.09
8,CHEMBL20194,TDP43,-8.00
9,CHEMBL4436414,TDP43,-8.00
10,CHEMBL4543379,TDP43,-8.00
11,CHEMBL6315,TDP43,-7.98
12,CHEMBL13411,TDP43,-7.90
13,CHEMBL28676,TDP43,-7.90
14,CHEMBL32766,TDP43,-7.90
15,CHEMBL3310689,TDP43,-7.90
16,CHEMBL4559987,TDP43,-7.90
17,CHEMBL4560033,TDP43,-7.90
18,CHEMBL49725,TDP43,-7.90
19,CHEMBL506077,TDP43,-7.89
20,CHEMBL1163325,TDP43,-7.80
21,CHEMBL17277,TDP43,-7.80
22,CHEMBL21907,TDP43,-7.80
23,CHEMBL3310692,TDP43,-7.80
24,CHEMBL3310694,TDP43,-7.80
25,CHEMBL3310695,TDP43,-7.80
26,CHEMBL33607,TDP43,-7.80
27,CHEMBL36628,TDP43,-7.80
28,CHEMBL405667,TDP43,-7.80
29,CHEMBL57096,TDP43,-7.80
30,CHEMBL7282,TDP43,-7.80
31,CHEMBL12004,TDP43,-7.70
32,CHEMBL21019,TDP43,-7.70
33,CHEMBL24894,TDP43,-7.70
34,CHEMBL3309785,TDP43,-7.70
35,CHEMBL3310693,TDP43,-7.70
36,CHEMBL42103,TDP43,-7.70
37,CHEMBL42406,TDP43,-7.70
38,CHEMBL4434850,TDP43,-7.70
39,CHEMBL503902,TDP43,-7.70
40,CHEMBL50825,TDP43,-7.70
41,CHEMBL51913,TDP43,-7.70
42,CHEMBL6867,TDP43,-7.68
43,CHEMBL6361,TDP43,-7.68
44,CHEMBL7039,TDP43,-7.65
45,CHEMBL19801,TDP43,-7.60
46,CHEMBL21224,TDP43,-7.60
47,CHEMBL3309961,TDP43,-7.60
48,CHEMBL3310688,TDP43,-7.60
49,CHEMBL3310691,TDP43,-7.60
50,CHEMBL3311118,TDP43,-7.60
51,CHEMBL33345,TDP43,-7.60
52,CHEMBL37153,TDP43,-7.60
53,CHEMBL4435839,TDP43,-7.60
54,CHEMBL4436366,TDP43,-7.60
55,CHEMBL7409,TDP43,-7.57
56,CHEMBL6354,TDP43,-7.56
57,CHEMBL508215,TDP43,-7.50
58,CHEMBL11778,TDP43,-7.50
59,CHEMBL16239,TDP43,-7.50
60,CHEMBL20178,TDP43,-7.50
61,CHEMBL24224,TDP43,-7.50
62,CHEMBL28853,TDP43,-7.50
63,CHEMBL32110,TDP43,-7.50
64,CHEMBL3310475,TDP43,-7.50
65,CHEMBL33294,TDP43,-7.50
66,CHEMBL34507,TDP43,-7.50
67,CHEMBL36113,TDP43,-7.50
68,CHEMBL4435614,TDP43,-7.50
69,CHEMBL4553138,TDP43,-7.50
70,CHEMBL48741,TDP43,-7.50
71,CHEMBL49423,TDP43,-7.50
72,CHEMBL503046,TDP43,-7.50
73,CHEMBL53923,TDP43,-7.50
74,CHEMBL54387,TDP43,-7.50
75,CHEMBL57980,TDP43,-7.50
76,CHEMBL59469,TDP43,-7.50
77,CHEMBL7328,TDP43,-7.50
78,CHEMBL564926,TDP43,-7.47
79,CHEMBL3309962,TDP43,-7.41
80,CHEMBL7152,TDP43,-7.41
81,14-BIS(3-PYRAZOLYLAMINO)BENZO[G]PHTHALAZINE,TDP43,-7.40
82,CHEMBL17580,TDP43,-7.40
83,CHEMBL20390,TDP43,-7.40
84,CHEMBL25226,TDP43,-7.40
85,CHEMBL26086,TDP43,-7.40
86,CHEMBL29512,TDP43,-7.40
87,CHEMBL32224,TDP43,-7.40
88,CHEMBL3309828,TDP43,-7.40
89,CHEMBL44050,TDP43,-7.40
90,CHEMBL4434852,TDP43,-7.40
91,CHEMBL4435511,TDP43,-7.40
92,CHEMBL4553125,TDP43,-7.40
93,CHEMBL45977,TDP43,-7.40
94,CHEMBL504164,TDP43,-7.40
95,CHEMBL50740,TDP43,-7.40
96,CHEMBL51190,TDP43,-7.40
97,CHEMBL54930,TDP43,-7.40
98,CHEMBL56326,TDP43,-7.40
99,CHEMBL58637,TDP43,-7.40
100,CHEMBL500111,TDP43,-7.39
