target,ligand,energy,SMILES,MW,logP,HBD,HBA,Lipinski
FUS,CHEMBL6207,-8.2,c1ccc2c(c1)c1cc[n+]2Cc2ccc3c(c2)Cc2cc(ccc2-3)C[n+]2ccc(c3ccccc32)NCCCCCCCCCCN1,618.9,9.19,2,2,no
FUS,CHEMBL592632,-8.1,COc1cccc(/C=C2/CCN3[C@@H](CCC2=O)C[C@]24CN5CCCC/C=C\CC[C@](O)(C=C(c6nccc7c6[nH]c6c(O)cccc67)[C@@H]2CC5)[C@H]34)c1,698.9,7.67,3,7,no
FUS,CHEMBL504357,-8.0,,,,,,
FUS,CHEMBL503046,-7.9,CN1CC[C@]2(c3cccc4c3C[C@H]3N(C)CC[C@@]45[C@@H]4Nc6c([C@]78CCN(C)[C@H]7Nc7ccccc78)cccc6[C@]35CCN4C)c3ccccc3N[C@H]12,690.0,5.96,3,7,no
FUS,CHEMBL1223980,-7.8,,,,,,
FUS,CHEMBL1223978,-7.72,,,,,,
FUS,14-BIS(3-PYRAZOLYLAMINO)BENZO[G]PHTHALAZINE,-7.7,,,,,,
FUS,CHEMBL1163325,-7.7,O=c1cc(COc2ccc(-c3cc(-c4ccccc4)nc(O)n3)cc2)c2ccc3ccccc3c2o1,472.5,6.35,1,6,no
FUS,CHEMBL159567,-7.7,C[C@]1(C(=O)N2CCOCC2)CO[C@H](c2nc(-c3ccc(F)cc3)c(-c3ccnc(NCc4ccc(F)cc4)n3)[nH]2)OC1,576.6,4.33,2,8,no
FUS,CHEMBL443597,-7.7,CN1CCc2cc3c4cc2[C@@H]1Cc1ccc(O)c(c1)Oc1ccc(cc1)C[C@H]1c2c(cc(O)c(c2O4)O3)CCN1C,548.6,6.64,2,7,no
SOD1,CHEMBL4559945,-9.5,CC1(C)c2ccc([nH]2)C2(C)CCCCNC(=O)c3cccc(n3)C(=O)NCCCCC(C)(c3ccc1[nH]3)c1ccc([nH]1)C(C)(C)c1ccc2[nH]1,673.9,7.49,6,3,no
SOD1,CHEMBL6207,-9.2,c1ccc2c(c1)c1cc[n+]2Cc2ccc3c(c2)Cc2cc(ccc2-3)C[n+]2ccc(c3ccccc32)NCCCCCCCCCCN1,618.9,9.19,2,2,no
SOD1,CHEMBL414380,-9.0,N=C(N)NCCC[C@H]1NC(=O)[C@@H](CCCN=C(N)N)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)/C=C\[C@@H](Cc2ccc3ccccc3c2)NC1=O,698.8,0.16,10,7,no
SOD1,CHEMBL1187325,-8.9,CCn1c2ccc3cc2c2cc(ccc21)C(=O)c1ccc(cc1)Cn1cc[n+](c1)Cc1cccc(n1)C[n+]1ccn(c1)Cc1ccc(cc1)C3=O,668.8,6.36,0,3,no
SOD1,CHEMBL1162102,-8.88,,,,,,
SOD1,CHEMBL503046,-8.79,CN1CC[C@]2(c3cccc4c3C[C@H]3N(C)CC[C@@]45[C@@H]4Nc6c([C@]78CCN(C)[C@H]7Nc7ccccc78)cccc6[C@]35CCN4C)c3ccccc3N[C@H]12,690.0,5.96,3,7,no
SOD1,14-BIS(3-PYRAZOLYLAMINO)BENZO[G]PHTHALAZINE,-8.7,,,,,,
SOD1,CHEMBL592632,-8.7,COc1cccc(/C=C2/CCN3[C@@H](CCC2=O)C[C@]24CN5CCCC/C=C\CC[C@](O)(C=C(c6nccc7c6[nH]c6c(O)cccc67)[C@@H]2CC5)[C@H]34)c1,698.9,7.67,3,7,no
SOD1,CHEMBL6356,-8.7,Nc1cc[n+](Cc2ccc3c(c2)Cc2cc(C[n+]4ccc(N)c5ccccc54)ccc2-3)c2ccccc12,480.6,5.4,2,2,no
SOD1,RIFABUTIN,-8.7,,,,,,
TDP43,CHEMBL6356,-8.6,Nc1cc[n+](Cc2ccc3c(c2)Cc2cc(C[n+]4ccc(N)c5ccccc54)ccc2-3)c2ccccc12,480.6,5.4,2,2,no
TDP43,CHEMBL4116075,-8.42,Cc1c2c(cc[n+]1CC(=O)c1ccc3ccccc3c1)c1ccccc1n2Cc1ccccc1,441.6,6.47,0,1,no
TDP43,CHEMBL1090649,-8.3,C[C@@H](O[C@H]1CN2C(=O)C=C(c3ccnc(F)c3)CC2[C@@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,582.5,7.33,0,3,no
TDP43,CHEMBL264478,-8.1,O=C([O-])c1cc(F)ccc1Cn1nnc(-c2cccc(/C=C/c3ccc4ccc(Cl)cc4n3)c2)n1.[Na+],507.9,1.27,0,6,no
TDP43,CHEMBL499846,-8.09,Cc1cccc(CN(Cc2cccc(C)c2)c2ccc(NC(=O)c3ccc(NCCNC(=N)N)c(-c4ccccc4)c3)cc2)c1,596.8,7.32,5,4,no
TDP43,CHEMBL6315,-7.98,Nc1cc[n+](Cc2ccc(Cc3ccc(C[n+]4ccc(N)c5ccccc54)cc3)cc2)c2ccccc12,482.6,5.42,2,2,no
TDP43,CHEMBL4559987,-7.9,Nc1n[nH]c2cccc(-c3ccc(C(=O)N4CCN(C(=O)c5ccc(Cl)c(C(F)(F)F)c5)CC4)cc3)c12,527.9,5.08,2,4,no
TDP43,CHEMBL506077,-7.89,Oc1nnc2c3cc(-c4ccccc4)c(-c4ccc(CN5CCC(c6n[nH]c(-c7ccccn7)n6)CC5)cc4)nc3ccn12,579.7,5.88,2,8,no
TDP43,CHEMBL1163325,-7.8,O=c1cc(COc2ccc(-c3cc(-c4ccccc4)nc(O)n3)cc2)c2ccc3ccccc3c2o1,472.5,6.35,1,6,no
TDP43,CHEMBL405667,-7.8,O=C1CC(c2ccc(-c3ccccc3)cc2)c2c(ccc3ccccc23)N1,349.4,5.98,1,1,no
