ligand,target,energy,category
Amlodipine,SOD1,-0.02889,ARB
Amlodipine,TDP43,-0.02707,ARB
Cholecalciferol,SOD1,-0.01046,Vitamina C
Cholecalciferol,TDP43,-0.01044,Vitamina C
Atorvastatin,SOD1,-0.01038,PPAR-gamma
Sertraline,TDP43,-0.00701,ISRS
Sertraline,SOD1,-0.00701,ISRS
Vitamin_E,SOD1,-0.006777,Antioxidante
Masitinib,TDP43,-0.006192,KCNQ2/3
Fingolimod,TDP43,-0.005139,Quelante-hierro
Vitamin_E,TDP43,-0.00501,Antioxidante
Donepezil,SOD1,-0.003659,Alzheimer
Ezogabine,SOD1,-0.003451,HSP-coinducer
Teriflunomide,SOD1,-0.002847,NRF2-activador
Masitinib,SOD1,-0.002793,KCNQ2/3
Ceftriaxone,TDP43,-0.002736,Neuroprotector
Berberine,TDP43,-0.002703,Isoflavona
Fingolimod,SOD1,-0.00239,Quelante-hierro
Ceftriaxone,SOD1,-0.002008,Neuroprotector
TUDCA,TDP43,-0.00199,Energia-celular
Fluoxetine,SOD1,-0.001952,IBP
Donepezil,TDP43,-0.001796,Alzheimer
Simvastatin,SOD1,-0.001369,Estatina
Indomethacin,TDP43,-0.001306,AINE
Curcumin,TDP43,-0.001155,Inmunomodulador
Omeprazole,SOD1,-0.001131,Analgesico
Simvastatin,TDP43,-0.00109,Estatina
Fluoxetine,TDP43,-0.001074,IBP
Pregabalin,SOD1,-0.001009,Anticonvulsivo
Pregabalin,TDP43,-0.0008578,Anticonvulsivo
Epigallocatechin_gallate,SOD1,-0.0007052,Flavonoide
Celecoxib,TDP43,-0.0006887,Parkinson
Curcumin,SOD1,-0.0006667,Inmunomodulador
Ropinirole,TDP43,-0.0006195,Parkinson
Arimoclomol,TDP43,-0.0006192,Mineral
Baclofen,TDP43,-0.0005718,ELA-espasticidad
Alpha-Lipoic_Acid,TDP43,-0.0005286,Mitocondrial
Riboflavin,SOD1,-0.0004494,Neurohormona
Escitalopram,SOD1,-0.0004162,ISRS
Pioglitazone,TDP43,-0.0003622,AMPK-mTOR
Pioglitazone,SOD1,-0.0002844,AMPK-mTOR
Folic_Acid,TDP43,-0.0002744,Vitamina B6
Epigallocatechin_gallate,TDP43,-0.0001999,Flavonoide
Teriflunomide,TDP43,-0.000194,NRF2-activador
Prednisone,TDP43,-0.0001693,AINE
Selegiline,TDP43,-0.0001486,Parkinson
Thiamine,TDP43,-0.0001466,Vitamina B2
Thiamine,SOD1,-0.0001439,Vitamina B2
Rapamycin,SOD1,-0.000138,SERM
Cladribine,SOD1,-0.0001294,DHODH-inhibidor
AMX0035,SOD1,-0.0001289,TKI-mastocitos
