ligand,target,energy,file
Compuesto19,SOD1,-0.1761,C:\Users\Fredy\masive-als\results\local_dock\SOD1_outputs\ligand19_docked.pdbqt
Compuesto19,TDP43,-0.08152,C:\Users\Fredy\masive-als\results\local_dock\TDP43_outputs\ligand19_docked.pdbqt
Compuesto10,TDP43,-0.004005,C:\Users\Fredy\masive-als\results\local_dock\TDP43_outputs\ligand10_docked.pdbqt
Compuesto16,TDP43,-0.003211,C:\Users\Fredy\masive-als\results\local_dock\TDP43_outputs\ligand16_docked.pdbqt
Compuesto16,SOD1,-0.001973,C:\Users\Fredy\masive-als\results\local_dock\SOD1_outputs\ligand16_docked.pdbqt
Compuesto15,SOD1,-0.001482,C:\Users\Fredy\masive-als\results\local_dock\SOD1_outputs\ligand15_docked.pdbqt
Compuesto14,SOD1,-0.001449,C:\Users\Fredy\masive-als\results\local_dock\SOD1_outputs\ligand14_docked.pdbqt
Compuesto4,SOD1,-0.001283,C:\Users\Fredy\masive-als\results\local_dock\SOD1_outputs\ligand4_docked.pdbqt
Compuesto6,SOD1,-0.0006065,C:\Users\Fredy\masive-als\results\local_dock\SOD1_outputs\ligand6_docked.pdbqt
Compuesto18,TDP43,-0.0001186,C:\Users\Fredy\masive-als\results\local_dock\TDP43_outputs\ligand18_docked.pdbqt
Compuesto3,TDP43,-5.494e-05,C:\Users\Fredy\masive-als\results\local_dock\TDP43_outputs\ligand3_docked.pdbqt
Compuesto18,SOD1,-3.505e-05,C:\Users\Fredy\masive-als\results\local_dock\SOD1_outputs\ligand18_docked.pdbqt
Compuesto3,SOD1,-6.917e-06,C:\Users\Fredy\masive-als\results\local_dock\SOD1_outputs\ligand3_docked.pdbqt
Compuesto8,TDP43,-5.326e-06,C:\Users\Fredy\masive-als\results\local_dock\TDP43_outputs\ligand8_docked.pdbqt
Compuesto1,SOD1,-3.674e-06,C:\Users\Fredy\masive-als\results\local_dock\SOD1_outputs\ligand1_docked.pdbqt
Compuesto9,SOD1,-3.357e-06,C:\Users\Fredy\masive-als\results\local_dock\SOD1_outputs\ligand9_docked.pdbqt
Compuesto13,TDP43,-2.414e-06,C:\Users\Fredy\masive-als\results\local_dock\TDP43_outputs\ligand13_docked.pdbqt
