ligand,target,energy
CHEMBL156224,SOD1,-0.1023
CHEMBL439520,TDP43,-0.09004
CHEMBL154341,TDP43,-0.08877
CHEMBL409812,SOD1,-0.08538
CHEMBL444432,TDP43,-0.0718
CHEMBL265216,TDP43,-0.06526
CHEMBL439520,SOD1,-0.06377
CHEMBL157459,SOD1,-0.06353
CHEMBL501943,TDP43,-0.06286
CHEMBL445177,SOD1,-0.06157
CHEMBL409812,TDP43,-0.05887
CHEMBL4116086,TDP43,-0.05885
CHEMBL154341,SOD1,-0.05856
CHEMBL146675,TDP43,-0.05832
CHEMBL265564,SOD1,-0.05679
CHEMBL265024,TDP43,-0.04799
CHEMBL265216,SOD1,-0.04465
CHEMBL265024,SOD1,-0.04434
CHEMBL443598,SOD1,-0.04367
CHEMBL4116086,SOD1,-0.04146
CHEMBL156224,TDP43,-0.03523
CHEMBL445177,TDP43,-0.03342
CHEMBL500202,TDP43,-0.0324
CHEMBL503870,SOD1,-0.02976
CHEMBL441620,SOD1,-0.02546
CHEMBL146675,SOD1,-0.02508
CHEMBL441620,TDP43,-0.02424
CHEMBL444432,SOD1,-0.02369
CHEMBL6322,SOD1,-0.0227
CHEMBL403325,SOD1,-0.02263
CHEMBL4116106,TDP43,-0.02093
CHEMBL6322,TDP43,-0.0155
CHEMBL265564,TDP43,-0.01245
CHEMBL157459,TDP43,-0.01162
CHEMBL500202,SOD1,-0.01014
CHEMBL501943,SOD1,-0.009392
CHEMBL500206,TDP43,-0.009267
CHEMBL1205279,TDP43,-0.009158
CHEMBL500206,SOD1,-0.008865
CHEMBL1205279,SOD1,-0.007318
CHEMBL443598,TDP43,-0.007028
CHEMBL445025,SOD1,-0.007008
CHEMBL503870,TDP43,-0.006778
CHEMBL266902,SOD1,-0.006423
CHEMBL4116106,SOD1,-0.006281
CHEMBL498858,TDP43,-0.004356
CHEMBL445025,TDP43,-0.00413
CHEMBL403325,TDP43,-0.004085
CHEMBL154288,TDP43,-0.004059
CHEMBL266902,TDP43,-0.003775
CHEMBL498858,SOD1,-0.003734
CHEMBL265900,SOD1,-0.003448
CHEMBL265174,SOD1,-0.003033
CHEMBL267740,TDP43,-0.002833
CHEMBL264899,TDP43,-0.002715
CHEMBL267832,SOD1,-0.00268
CHEMBL499517,TDP43,-0.002575
CHEMBL498861,SOD1,-0.002458
CHEMBL262924,TDP43,-0.002407
CHEMBL409297,SOD1,-0.002398
CHEMBL411601,TDP43,-0.002367
CHEMBL1205372,SOD1,-0.002347
CHEMBL499809,SOD1,-0.002296
CHEMBL501671,TDP43,-0.002219
CHEMBL405225,TDP43,-0.002069
CHEMBL444231,SOD1,-0.002037
CHEMBL499809,TDP43,-0.001948
CHEMBL1205150,SOD1,-0.001827
CHEMBL443682,SOD1,-0.001786
CHEMBL262819,SOD1,-0.001733
CHEMBL265130,TDP43,-0.001677
CHEMBL155459,TDP43,-0.001643
CHEMBL444748,TDP43,-0.00162
CHEMBL264137,TDP43,-0.001607
CHEMBL500021,TDP43,-0.001598
CHEMBL263329,TDP43,-0.001548
CHEMBL503634,SOD1,-0.001513
CHEMBL266873,TDP43,-0.001439
CHEMBL264137,SOD1,-0.001427
CHEMBL501674,TDP43,-0.001419
CHEMBL264812,SOD1,-0.001385
CHEMBL267740,SOD1,-0.001349
