entrada,semilla,modo,afinidad,rmsd,parcial,atomos_cristal,atomos_pose
4A7Q,2026,1,-5.559,10.55,False,18,36
4A7Q,2026,2,-5.411,10.36,False,18,36
4A7Q,2026,3,-5.33,6.32,False,18,36
4A7Q,2026,4,-4.95,4.04,False,18,36
4A7Q,2026,5,-4.948,3.84,False,18,36
4A7Q,2026,6,-4.769,9.08,False,18,36
4A7Q,2026,7,-4.699,7.81,False,18,36
4A7Q,2026,8,-4.653,3.15,False,18,36
4A7Q,2026,9,-4.458,12.78,False,18,36
4A7Q,42,1,-5.589,10.55,False,18,36
4A7Q,42,2,-5.432,9.84,False,18,36
4A7Q,42,3,-5.417,10.38,False,18,36
4A7Q,42,4,-5.332,6.32,False,18,36
4A7Q,42,5,-4.958,4.06,False,18,36
4A7Q,42,6,-4.913,3.67,False,18,36
4A7Q,42,7,-4.762,9.05,False,18,36
4A7Q,42,8,-4.607,3.2,False,18,36
4A7Q,42,9,-4.606,7.96,False,18,36
4A7Q,777,1,-5.559,10.53,False,18,36
4A7Q,777,2,-5.365,10.37,False,18,36
4A7Q,777,3,-5.313,6.26,False,18,36
4A7Q,777,4,-4.958,4.05,False,18,36
4A7Q,777,5,-4.944,3.68,False,18,36
4A7Q,777,6,-4.789,9.29,False,18,36
4A7Q,777,7,-4.668,8.04,False,18,36
4A7Q,777,8,-4.565,8.12,False,18,36
4A7Q,777,9,-4.539,10.64,False,18,36
4A7G,2026,1,-5.848,5.23,False,17,33
4A7G,2026,2,-5.483,10.89,False,17,33
4A7G,2026,3,-5.199,10.96,False,17,33
4A7G,2026,4,-5.098,10.45,False,17,33
4A7G,2026,5,-4.915,6.66,False,17,33
4A7G,2026,6,-4.759,9.46,False,17,33
4A7G,2026,7,-4.715,6.78,False,17,33
4A7G,2026,8,-4.642,10.13,False,17,33
4A7G,2026,9,-4.402,7.85,False,17,33
4A7G,42,1,-5.852,5.23,False,17,33
4A7G,42,2,-5.487,10.93,False,17,33
4A7G,42,3,-5.208,10.94,False,17,33
4A7G,42,4,-4.877,6.7,False,17,33
4A7G,42,5,-4.782,4.81,False,17,33
4A7G,42,6,-4.756,9.86,False,17,33
4A7G,42,7,-4.682,6.8,False,17,33
4A7G,42,8,-4.552,7.57,False,17,33
4A7G,42,9,-4.363,10.98,False,17,33
4A7G,777,1,-5.826,5.26,False,17,33
4A7G,777,2,-5.473,10.91,False,17,33
4A7G,777,3,-5.184,10.95,False,17,33
4A7G,777,4,-5.043,10.4,False,17,33
4A7G,777,5,-4.692,9.24,False,17,33
4A7G,777,6,-4.488,8.6,False,17,33
4A7G,777,7,-4.411,11.05,False,17,33
4A7G,777,8,-4.362,11.67,False,17,33
4A7G,777,9,-4.356,2.7,False,17,33
2WZ6,2026,1,-5.927,5.77,False,22,39
2WZ6,2026,2,-5.72,5.98,False,22,39
2WZ6,2026,3,-5.695,13.05,False,22,39
2WZ6,2026,4,-5.558,12.27,False,22,39
2WZ6,2026,5,-5.352,6.19,False,22,39
2WZ6,2026,6,-5.194,11.68,False,22,39
2WZ6,2026,7,-4.909,7.29,False,22,39
2WZ6,2026,8,-4.833,9.96,False,22,39
2WZ6,2026,9,-4.751,5.88,False,22,39
2WZ6,42,1,-5.882,5.79,False,22,39
2WZ6,42,2,-5.746,5.49,False,22,39
2WZ6,42,3,-5.699,5.99,False,22,39
2WZ6,42,4,-5.544,12.3,False,22,39
2WZ6,42,5,-5.428,12.89,False,22,39
2WZ6,42,6,-5.219,11.3,False,22,39
2WZ6,42,7,-5.197,11.63,False,22,39
2WZ6,42,8,-5.168,11.57,False,22,39
2WZ6,42,9,-5.133,11.81,False,22,39
2WZ6,777,1,-5.899,5.81,False,22,39
2WZ6,777,2,-5.75,5.49,False,22,39
2WZ6,777,3,-5.737,13.04,False,22,39
2WZ6,777,4,-5.711,5.96,False,22,39
2WZ6,777,5,-5.577,12.25,False,22,39
2WZ6,777,6,-4.891,7.29,False,22,39
2WZ6,777,7,-4.856,11.52,False,22,39
2WZ6,777,8,-4.849,6.16,False,22,39
2WZ6,777,9,-4.76,1.43,False,22,39
2WZ0,2026,1,-4.461,4.29,False,10,21
2WZ0,2026,2,-4.396,5.39,False,10,21
2WZ0,2026,3,-4.122,3.79,False,10,21
2WZ0,2026,4,-4.119,10.24,False,10,21
2WZ0,2026,5,-4.061,4.69,False,10,21
2WZ0,2026,6,-3.951,4.67,False,10,21
2WZ0,2026,7,-3.904,11.74,False,10,21
2WZ0,2026,8,-3.87,9.79,False,10,21
2WZ0,2026,9,-3.843,11.29,False,10,21
2WZ0,42,1,-4.473,4.36,False,10,21
2WZ0,42,2,-4.4,5.4,False,10,21
2WZ0,42,3,-4.275,3.72,False,10,21
2WZ0,42,4,-3.954,4.67,False,10,21
2WZ0,42,5,-3.907,11.75,False,10,21
2WZ0,42,6,-3.732,3.99,False,10,21
2WZ0,42,7,-3.583,5.55,False,10,21
2WZ0,42,8,-3.3,4.81,False,10,21
2WZ0,42,9,-3.224,5.63,False,10,21
2WZ0,777,1,-4.469,4.35,False,10,21
2WZ0,777,2,-4.397,5.39,False,10,21
2WZ0,777,3,-4.27,3.66,False,10,21
2WZ0,777,4,-3.961,4.71,False,10,21
2WZ0,777,5,-3.951,4.67,False,10,21
2WZ0,777,6,-3.784,4.45,False,10,21
2WZ0,777,7,-3.597,4.14,False,10,21
2WZ0,777,8,-3.499,3.6,False,10,21
2WZ0,777,9,-3.42,5.58,False,10,21
8GSQ,2026,1,-9.709,6.84,False,31,58
8GSQ,2026,2,-9.215,6.75,False,31,58
8GSQ,2026,3,-9.05,7.52,False,31,58
8GSQ,2026,4,-8.866,3.79,False,31,58
8GSQ,2026,5,-8.837,11.18,False,31,58
8GSQ,2026,6,-8.764,5.17,False,31,58
8GSQ,2026,7,-8.72,9.64,False,31,58
8GSQ,2026,8,-8.687,5.5,False,31,58
8GSQ,2026,9,-8.246,5.08,False,31,58
8GSQ,42,1,-9.903,6.86,False,31,58
8GSQ,42,2,-9.375,6.75,False,31,58
8GSQ,42,3,-9.041,3.78,False,31,58
8GSQ,42,4,-8.994,11.2,False,31,58
8GSQ,42,5,-8.908,5.12,False,31,58
8GSQ,42,6,-8.846,9.65,False,31,58
8GSQ,42,7,-8.631,3.3,False,31,58
8GSQ,42,8,-8.59,4.96,False,31,58
8GSQ,42,9,-8.582,11.84,False,31,58
8GSQ,777,1,-9.931,6.88,False,31,58
8GSQ,777,2,-9.487,6.81,False,31,58
8GSQ,777,3,-9.28,7.46,False,31,58
8GSQ,777,4,-8.967,3.85,False,31,58
8GSQ,777,5,-8.964,11.19,False,31,58
8GSQ,777,6,-8.904,9.63,False,31,58
8GSQ,777,7,-8.595,11.84,False,31,58
8GSQ,777,8,-8.556,3.25,False,31,58
8GSQ,777,9,-8.5,10.99,False,31,58
6A9O,2026,1,-8.911,5.03,True,24,51
6A9O,2026,2,-8.582,4.93,True,24,51
6A9O,2026,3,-8.569,5.31,True,24,51
6A9O,2026,4,-8.516,6.8,True,24,51
6A9O,2026,5,-8.468,5.1,True,24,51
6A9O,2026,6,-8.401,7.72,True,24,51
6A9O,2026,7,-8.351,9.47,True,24,51
6A9O,2026,8,-8.03,5.67,True,24,51
6A9O,2026,9,-8.006,9.29,True,24,51
6A9O,42,1,-8.808,5.0,True,24,51
6A9O,42,2,-8.531,4.75,True,24,51
6A9O,42,3,-8.455,6.95,True,24,51
6A9O,42,4,-8.447,5.31,True,24,51
6A9O,42,5,-8.352,9.36,True,24,51
6A9O,42,6,-8.225,5.33,True,24,51
6A9O,42,7,-8.109,8.77,True,24,51
6A9O,42,8,-7.897,8.32,True,24,51
6A9O,42,9,-7.793,10.22,True,24,51
6A9O,777,1,-8.471,5.02,True,24,51
6A9O,777,2,-8.219,4.75,True,24,51
6A9O,777,3,-8.127,5.32,True,24,51
6A9O,777,4,-8.069,6.8,True,24,51
6A9O,777,5,-8.019,9.34,True,24,51
6A9O,777,6,-7.948,7.73,True,24,51
6A9O,777,7,-7.761,7.74,True,24,51
6A9O,777,8,-7.758,8.08,True,24,51
6A9O,777,9,-7.655,7.93,True,24,51
5YTO,2026,1,-8.37,4.88,False,23,42
5YTO,2026,2,-7.879,4.38,False,23,42
5YTO,2026,3,-7.83,8.93,False,23,42
5YTO,2026,4,-7.829,4.17,False,23,42
5YTO,2026,5,-7.698,11.56,False,23,42
5YTO,2026,6,-7.567,13.72,False,23,42
5YTO,2026,7,-7.535,5.85,False,23,42
5YTO,2026,8,-7.431,6.95,False,23,42
5YTO,2026,9,-7.357,5.03,False,23,42
5YTO,42,1,-8.948,4.89,False,23,42
5YTO,42,2,-8.876,5.08,False,23,42
5YTO,42,3,-8.81,12.88,False,23,42
5YTO,42,4,-8.542,12.86,False,23,42
5YTO,42,5,-8.463,8.92,False,23,42
5YTO,42,6,-8.101,4.36,False,23,42
5YTO,42,7,-7.99,2.87,False,23,42
5YTO,42,8,-7.981,7.29,False,23,42
5YTO,42,9,-7.978,4.45,False,23,42
5YTO,777,1,-8.291,4.86,False,23,42
5YTO,777,2,-8.195,5.06,False,23,42
5YTO,777,3,-7.806,8.91,False,23,42
5YTO,777,4,-7.8,4.26,False,23,42
5YTO,777,5,-7.752,4.4,False,23,42
5YTO,777,6,-7.521,5.69,False,23,42
5YTO,777,7,-7.334,3.01,False,23,42
5YTO,777,8,-7.249,2.43,False,23,42
5YTO,777,9,-7.123,8.21,False,23,42
4A7S,2026,1,-5.061,11.33,False,18,29
4A7S,2026,2,-5.026,9.84,False,18,29
4A7S,2026,3,-4.959,9.95,False,18,29
4A7S,2026,4,-4.771,11.23,False,18,29
4A7S,2026,5,-4.766,10.72,False,18,29
4A7S,2026,6,-4.624,11.62,False,18,29
4A7S,2026,7,-4.551,9.57,False,18,29
4A7S,2026,8,-4.401,11.36,False,18,29
4A7S,2026,9,-4.266,9.61,False,18,29
4A7S,42,1,-5.256,11.07,False,18,29
4A7S,42,2,-5.255,9.82,False,18,29
4A7S,42,3,-5.206,11.02,False,18,29
4A7S,42,4,-5.189,9.95,False,18,29
4A7S,42,5,-5.148,9.58,False,18,29
4A7S,42,6,-5.085,10.42,False,18,29
4A7S,42,7,-4.846,10.71,False,18,29
4A7S,42,8,-4.833,11.48,False,18,29
4A7S,42,9,-4.747,10.25,False,18,29
4A7S,777,1,-5.061,11.29,False,18,29
4A7S,777,2,-5.02,9.82,False,18,29
4A7S,777,3,-4.962,9.95,False,18,29
4A7S,777,4,-4.949,11.14,False,18,29
4A7S,777,5,-4.91,9.56,False,18,29
4A7S,777,6,-4.838,10.41,False,18,29
4A7S,777,7,-4.737,10.73,False,18,29
4A7S,777,8,-4.696,11.29,False,18,29
4A7S,777,9,-4.695,12.35,False,18,29
4A7T,2026,1,-5.245,2.5,False,15,32
4A7T,2026,2,-5.244,0.63,False,15,32
4A7T,2026,3,-5.185,1.63,False,15,32
4A7T,2026,4,-4.916,2.31,False,15,32
4A7T,2026,5,-4.773,6.63,False,15,32
4A7T,2026,6,-4.769,4.59,False,15,32
4A7T,2026,7,-4.572,12.0,False,15,32
4A7T,2026,8,-4.563,2.37,False,15,32
4A7T,2026,9,-4.51,13.07,False,15,32
4A7T,42,1,-5.162,1.28,False,15,32
4A7T,42,2,-5.022,2.47,False,15,32
4A7T,42,3,-4.607,12.08,False,15,32
4A7T,42,4,-4.529,6.15,False,15,32
4A7T,42,5,-4.519,2.41,False,15,32
4A7T,42,6,-4.458,12.66,False,15,32
4A7T,42,7,-4.448,3.17,False,15,32
4A7T,42,8,-4.414,11.67,False,15,32
4A7T,42,9,-4.315,11.11,False,15,32
4A7T,777,1,-5.369,0.48,False,15,32
4A7T,777,2,-5.276,2.47,False,15,32
4A7T,777,3,-5.245,1.64,False,15,32
4A7T,777,4,-4.886,1.87,False,15,32
4A7T,777,5,-4.804,11.52,False,15,32
4A7T,777,6,-4.676,3.02,False,15,32
4A7T,777,7,-4.616,12.33,False,15,32
4A7T,777,8,-4.515,11.67,False,15,32
4A7T,777,9,-4.465,11.76,False,15,32
4A7U,2026,1,-4.95,0.69,False,13,26
4A7U,2026,2,-4.836,11.94,False,13,26
4A7U,2026,3,-4.717,12.05,False,13,26
4A7U,2026,4,-4.59,12.15,False,13,26
4A7U,2026,5,-4.518,1.98,False,13,26
4A7U,2026,6,-4.351,5.18,False,13,26
4A7U,2026,7,-4.273,5.01,False,13,26
4A7U,2026,8,-4.252,2.16,False,13,26
4A7U,2026,9,-4.187,12.25,False,13,26
4A7U,42,1,-5.006,0.72,False,13,26
4A7U,42,2,-4.931,11.9,False,13,26
4A7U,42,3,-4.78,12.15,False,13,26
4A7U,42,4,-4.593,2.02,False,13,26
4A7U,42,5,-4.497,2.5,False,13,26
4A7U,42,6,-4.199,3.59,False,13,26
4A7U,42,7,-4.167,2.4,False,13,26
4A7U,42,8,-4.058,5.61,False,13,26
4A7U,42,9,-3.931,2.59,False,13,26
4A7U,777,1,-4.948,0.74,False,13,26
4A7U,777,2,-4.913,11.88,False,13,26
4A7U,777,3,-4.709,12.17,False,13,26
4A7U,777,4,-4.492,2.09,False,13,26
4A7U,777,5,-4.472,5.27,False,13,26
4A7U,777,6,-4.459,2.12,False,13,26
4A7U,777,7,-4.324,12.1,False,13,26
4A7U,777,8,-4.309,2.77,False,13,26
4A7U,777,9,-4.2,10.45,False,13,26
4A7V,2026,1,-5.033,3.13,False,11,22
4A7V,2026,2,-4.612,2.96,False,11,22
4A7V,2026,3,-4.543,12.67,False,11,22
4A7V,2026,4,-4.502,11.73,False,11,22
4A7V,2026,5,-4.478,1.06,False,11,22
4A7V,2026,6,-4.451,13.73,False,11,22
4A7V,2026,7,-4.168,14.22,False,11,22
4A7V,2026,8,-4.045,15.59,False,11,22
4A7V,2026,9,-3.956,13.39,False,11,22
4A7V,42,1,-5.013,3.15,False,11,22
4A7V,42,2,-4.905,15.22,False,11,22
4A7V,42,3,-4.714,2.96,False,11,22
4A7V,42,4,-4.538,12.81,False,11,22
4A7V,42,5,-4.499,11.82,False,11,22
4A7V,42,6,-4.444,13.73,False,11,22
4A7V,42,7,-4.437,1.1,False,11,22
4A7V,42,8,-3.862,8.1,False,11,22
4A7V,42,9,-3.668,3.7,False,11,22
4A7V,777,1,-5.048,3.15,False,11,22
4A7V,777,2,-4.555,0.74,False,11,22
4A7V,777,3,-4.525,11.78,False,11,22
4A7V,777,4,-4.484,12.69,False,11,22
4A7V,777,5,-4.472,11.92,False,11,22
4A7V,777,6,-4.401,1.96,False,11,22
4A7V,777,7,-4.4,13.61,False,11,22
4A7V,777,8,-4.323,4.8,False,11,22
4A7V,777,9,-4.125,5.09,False,11,22
